CANDIDATE ID,CANDIDATE NAME,FATHER,GROUP,OTHER,Test ID,Test,Sub-General Knowledge,Sub-Social Science,Total,Test Rank,Group Rank,Percentage
1054,,,,,112,test,70,52,122,36,0,38.125
1102,,,,,112,test,45,56,101,46,0,31.562
1103,,,,,112,test,55,96,151,22,0,47.188
1104,,,,,112,test,17,51,68,64,0,21.25
1155,,,,,112,test,40,31,71,62,0,22.188
1156,,,,,112,test,10,36,46,75,0,14.375
1157,,,,,112,test,85,71,156,21,0,48.75
1158,,,,,112,test,16,6,22,83,0,6.875
1159,,,,,112,test,30,6,36,79,0,11.25
1160,,,,,112,test,35,36,71,62,0,22.188
1190,,,,,112,test,70,71,141,26,0,44.062
1200,,,,,112,test,10,16,26,82,0,8.125
1203,,,,,112,test,21,16,37,78,0,11.562
1204,,,,,112,test,45,46,91,51,0,28.438
1206,,,,,112,test,51,71,122,36,0,38.125
1210,,,,,112,test,75,61,136,28,0,42.5
1211,,,,,112,test,25,51,76,60,0,23.75
1213,,,,,112,test,65,66,131,31,0,40.938
1214,,,,,112,test,37,48,85,56,0,26.562
1215,,,,,112,test,30,36,66,66,0,20.625
1216,,,,,112,test,80,31,111,42,0,34.688
1217,,,,,112,test,5,16,21,84,0,6.562
1219,,,,,112,test,67,48,115,40,0,35.938
1220,,,,,112,test,25,1,26,82,0,8.125
1221,,,,,112,test,25,21,46,75,0,14.375
1222,,,,,112,test,25,56,81,58,0,25.312
1223,,,,,112,test,75,81,156,21,0,48.75
1245,,,,,112,test,40,31,71,62,0,22.188
1246,,,,,112,test,25,16,41,77,0,12.812
1247,,,,,112,test,20,81,101,46,0,31.562
1248,,,,,112,test,55,36,91,51,0,28.438
1249,,,,,112,test,25,41,66,66,0,20.625
1250,,,,,112,test,100,96,196,7,0,61.25
1251,,,,,112,test,65,26,91,51,0,28.438
1254,,,,,112,test,30,42,72,61,0,22.5
1255,,,,,112,test,45,96,141,26,0,44.062
1256,,,,,112,test,82,98,180,10,0,56.25
1259,,,,,112,test,20,21,41,77,0,12.812
1275,,,,,112,test,101,99,200,5,0,62.5
1276,,,,,112,test,20,26,46,75,0,14.375
1293,,,,,112,test,90,41,131,31,0,40.938
1294,,,,,112,test,40,46,86,55,0,26.875
1297,,,,,112,test,58,51,109,43,0,34.062
1300,,,,,112,test,50,41,91,51,0,28.438
1301,,,,,112,test,65,61,126,33,0,39.375
1302,,,,,112,test,25,51,76,60,0,23.75
1303,,,,,112,test,80,81,161,18,0,50.312
1304,,,,,112,test,47,47,94,49,0,29.375
1307,,,,,112,test,46,26,72,61,0,22.5
1309,,,,,112,test,35,6,41,77,0,12.812
1310,,,,,112,test,57,76,133,29,0,41.562
1311,,,,,112,test,100,71,171,15,0,53.438
1312,,,,,112,test,55,11,66,66,0,20.625
1313,,,,,112,test,75,76,151,22,0,47.188
1314,,,,,112,test,65,58,123,35,0,38.438
1315,,,,,112,test,38,77,115,40,0,35.938
1317,,,,,112,test,35,26,61,67,0,19.062
1318,,,,,112,test,45,41,86,55,0,26.875
1319,,,,,112,test,46,41,87,54,0,27.188
1320,,,,,112,test,5,11,16,86,0,5
1321,,,,,112,test,30,41,71,62,0,22.188
1331,,,,,112,test,40,71,111,42,0,34.688
1333,,,,,112,test,87,72,159,20,0,49.688
1334,,,,,112,test,47,98,145,24,0,45.312
1335,,,,,112,test,63,88,151,22,0,47.188
1336,,,,,112,test,68,56,124,34,0,38.75
1337,,,,,112,test,73,93,166,16,0,51.875
1338,,,,,112,test,68,98,166,16,0,51.875
1352,,,,,112,test,35,6,41,77,0,12.812
1353,,,,,112,test,40,1,41,77,0,12.812
1360,,,,,112,test,20,26,46,75,0,14.375
1361,,,,,112,test,30,46,76,60,0,23.75
1362,,,,,112,test,80,66,146,23,0,45.625
1363,,,,,112,test,36,66,102,45,0,31.875
1364,,,,,112,test,-5,1,-4,90,0,0
1365,,,,,112,test,35,21,56,70,0,17.5
1366,,,,,112,test,70,61,131,31,0,40.938
1367,,,,,112,test,55,81,136,28,0,42.5
1368,,,,,112,test,65,81,146,23,0,45.625
1369,,,,,112,test,40,46,86,55,0,26.875
1563,,,,,112,test,20,61,81,58,0,25.312
1565,,,,,112,test,15,26,41,77,0,12.812
1566,,,,,112,test,60,36,96,48,0,30
1568,,,,,112,test,80,61,141,26,0,44.062
1569,,,,,112,test,55,34,89,52,0,27.812
1570,,,,,112,test,35,36,71,62,0,22.188
1571,,,,,112,test,35,47,82,57,0,25.625
1574,,,,,112,test,20,67,87,54,0,27.188
1613,,,,,112,test,65,51,116,39,0,36.25
1615,,,,,112,test,45,51,96,48,0,30
1618,,,,,112,test,45,21,66,66,0,20.625
1623,,,,,112,test,40,46,86,55,0,26.875
1630,,,,,112,test,25,46,71,62,0,22.188
1636,,,,,112,test,35,1,36,79,0,11.25
1637,,,,,112,test,30,42,72,61,0,22.5
1642,,,,,112,test,20,46,66,66,0,20.625
1643,,,,,112,test,120,122,242,1,0,75.625
1645,,,,,112,test,41,26,67,65,0,20.938
1646,,,,,112,test,35,36,71,62,0,22.188
1647,,,,,112,test,110,56,166,16,0,51.875
1648,,,,,112,test,30,36,66,66,0,20.625
1649,,,,,112,test,60,36,96,48,0,30
1652,,,,,112,test,50,86,136,28,0,42.5
,,,,,,,,,,,,
1653,,,,,112,test,76,101,177,11,0,55.312
,,,,,,,,,,,,
1656,,,,,112,test,106,91,197,6,0,61.562
,,,,,,,,,,,,
1661,,,,,112,test,60,56,116,39,0,36.25
1662,,,,,112,test,72,51,123,35,0,38.438
,,,,,,,,,,,,
1663,,,,,112,test,45,31,76,60,0,23.75
1664,,,,,112,test,120,86,206,3,0,64.375
,,,,,,,,,,,,
1666,,,,,112,test,115,86,201,4,0,62.812
,,,,,,,,,,,,
1668,,,,,112,test,15,31,46,75,0,14.375
,,,,,,,,,,,,
1739,,,,,112,test,50,66,116,39,0,36.25
1769,,,,,112,test,65,66,131,31,0,40.938
1770,,,,,112,test,45,46,91,51,0,28.438
1773,,,,,112,test,35,56,91,51,0,28.438
1774,,,,,112,test,86,58,144,25,0,45
1775,,,,,112,test,40,36,76,60,0,23.75
1776,,,,,112,test,55,61,116,39,0,36.25
1777,,,,,112,test,60,46,106,44,0,33.125
1778,,,,,112,test,90,66,156,21,0,48.75
1779,,,,,112,test,65,73,138,27,0,43.125
1782,,,,,112,test,40,51,91,51,0,28.438
1783,,,,,112,test,5,66,71,62,0,22.188
1784,,,,,112,test,80,71,151,22,0,47.188
1785,,,,,112,test,70,46,116,39,0,36.25
1786,,,,,112,test,55,86,141,26,0,44.062
1787,,,,,112,test,40,21,61,67,0,19.062
1788,,,,,112,test,20,36,56,70,0,17.5
1791,,,,,112,test,80,76,156,21,0,48.75
1792,,,,,112,test,45,6,51,73,0,15.938
1794,,,,,112,test,30,36,66,66,0,20.625
1795,,,,,112,test,25,31,56,70,0,17.5
1796,,,,,112,test,45,41,86,55,0,26.875
1798,,,,,112,test,50,6,56,70,0,17.5
1799,,,,,112,test,10,1,11,88,0,3.438
1800,,,,,112,test,40,48,88,53,0,27.5
1801,,,,,112,test,83,49,132,30,0,41.25
1802,,,,,112,test,60,51,111,42,0,34.688
1803,,,,,112,test,50,41,91,51,0,28.438
1804,,,,,112,test,90,51,141,26,0,44.062
1805,,,,,112,test,5,41,46,75,0,14.375
1809,,,,,112,test,30,46,76,60,0,23.75
1812,,,,,112,test,6,6,12,87,0,3.75
1820,,,,,112,test,21,36,57,69,0,17.812
1822,,,,,112,test,67,57,124,34,0,38.75
1824,,,,,112,test,73,51,124,34,0,38.75
1895,,,,,112,test,62,98,160,19,0,50
1896,,,,,112,test,32,20,52,72,0,16.25
1898,,,,,112,test,58,33,91,51,0,28.438
1900,,,,,112,test,32,15,47,74,0,14.688
1901,,,,,112,test,78,99,177,11,0,55.312
1902,,,,,112,test,75,66,141,26,0,44.062
1903,,,,,112,test,70,21,91,51,0,28.438
1905,,,,,112,test,55,66,121,37,0,37.812
1909,,,,,112,test,30,6,36,79,0,11.25
1910,,,,,112,test,52,46,98,47,0,30.625
1911,,,,,112,test,65,91,156,21,0,48.75
1913,,,,,112,test,75,97,172,14,0,53.75
1914,,,,,112,test,30,51,81,58,0,25.312
1915,,,,,112,test,70,86,156,21,0,48.75
1916,,,,,112,test,25,87,112,41,0,35
1917,,,,,112,test,95,102,197,6,0,61.562
1918,,,,,112,test,75,81,156,21,0,48.75
1919,,,,,112,test,15,1,16,86,0,5
1920,,,,,112,test,70,92,162,17,0,50.625
1921,,,,,112,test,90,96,186,8,0,58.125
1922,,,,,112,test,55,63,118,38,0,36.875
1923,,,,,112,test,100,71,171,15,0,53.438
1933,,,,,112,test,20,31,51,73,0,15.938
1934,,,,,112,test,21,-4,17,85,0,5.312
1935,,,,,112,test,40,51,91,51,0,28.438
1936,,,,,112,test,20,31,51,73,0,15.938
1937,,,,,112,test,70,56,126,33,0,39.375
1938,,,,,112,test,90,86,176,12,0,55
1939,,,,,112,test,70,76,146,23,0,45.625
1940,,,,,112,test,55,11,66,66,0,20.625
1943,,,,,112,test,15,26,41,77,0,12.812
1944,,,,,112,test,5,26,31,81,0,9.688
1945,,,,,112,test,41,14,55,71,0,17.188
1946,,,,,112,test,10,41,51,73,0,15.938
1947,,,,,112,test,25,41,66,66,0,20.625
1948,,,,,112,test,60,41,101,46,0,31.562
1950,,,,,112,test,45,6,51,73,0,15.938
1951,,,,,112,test,41,1,42,76,0,13.125
1952,,,,,112,test,-5,41,36,79,0,11.25
1953,,,,,112,test,60,86,146,23,0,45.625
1954,,,,,112,test,100,66,166,16,0,51.875
1955,,,,,112,test,65,96,161,18,0,50.312
1956,,,,,112,test,45,21,66,66,0,20.625
1957,,,,,112,test,50,-14,36,79,0,11.25
1958,,,,,112,test,70,51,121,37,0,37.812
1959,,,,,112,test,60,86,146,23,0,45.625
1960,,,,,112,test,55,56,111,42,0,34.688
1964,,,,,112,test,130,81,211,2,0,65.938
1969,,,,,112,test,65,41,106,44,0,33.125
1973,,,,,112,test,70,56,126,33,0,39.375
1982,,,,,112,test,41,1,42,76,0,13.125
2031,,,,,112,test,35,31,66,66,0,20.625
2033,,,,,112,test,35,36,71,62,0,22.188
2034,,,,,112,test,70,61,131,31,0,40.938
2036,,,,,112,test,40,66,106,44,0,33.125
2134,,,,,112,test,72,58,130,32,0,40.625
2140,,,,,112,test,36,21,57,69,0,17.812
2147,,,,,112,test,35,46,81,58,0,25.312
2151,,,,,112,test,6,36,42,76,0,13.125
2153,,,,,112,test,10,-4,6,89,0,1.875
2214,,,,,112,test,55,41,96,48,0,30
2215,,,,,112,test,20,21,41,77,0,12.812
2216,,,,,112,test,60,72,132,30,0,41.25
2217,,,,,112,test,35,31,66,66,0,20.625
2220,,,,,112,test,35,41,76,60,0,23.75
2221,,,,,112,test,35,41,76,60,0,23.75
2224,,,,,112,test,80,81,161,18,0,50.312
2340,,,,,112,test,55,21,76,60,0,23.75
2341,,,,,112,test,70,39,109,43,0,34.062
2342,,,,,112,test,45,61,106,44,0,33.125
2343,,,,,112,test,20,12,32,80,0,10
2344,,,,,112,test,37,21,58,68,0,18.125
2348,,,,,112,test,30,56,86,55,0,26.875
2366,,,,,112,test,74,110,184,9,0,57.5
