CANDIDATE ID,CANDIDATE NAME,FATHER,GROUP,OTHER,Test ID,Test,General Knowledge,Social Science,Total,Test Rank,Group Rank,Percentage
1008,,,,,112,test,25,16,41,154,0,12.812
1016,,,,,112,test,50,76,126,73,0,39.375
1020,,,,,112,test,55,72,127,72,0,39.688
1021,,,,,112,test,80,61,141,59,0,44.062
1022,,,,,112,test,5,36,41,154,0,12.812
1023,,,,,112,test,70,73,143,57,0,44.688
1024,,,,,112,test,40,1,41,154,0,12.812
1025,,,,,112,test,40,46,86,112,0,26.875
1026,,,,,112,test,51,31,82,116,0,25.625
1027,,,,,112,test,15,41,56,140,0,17.5
1028,,,,,112,test,40,46,86,112,0,26.875
1029,,,,,112,test,45,31,76,121,0,23.75
1030,,,,,112,test,60,41,101,97,0,31.562
1031,,,,,112,test,35,21,56,140,0,17.5
1032,,,,,112,test,5,21,26,165,0,8.125
1033,,,,,112,test,85,26,111,87,0,34.688
1034,,,,,112,test,60,41,101,97,0,31.562
1035,,,,,112,test,20,46,66,131,0,20.625
1036,,,,,112,test,80,66,146,54,0,45.625
1038,,,,,112,test,25,36,61,136,0,19.062
1039,,,,,112,test,82,91,173,34,0,54.062
1040,,,,,112,test,40,26,66,131,0,20.625
1041,,,,,112,test,95,61,156,46,0,48.75
1042,,,,,112,test,15,1,16,172,0,5
1043,,,,,112,test,8,13,21,169,0,6.562
1044,,,,,112,test,59,89,148,52,0,46.25
1045,,,,,112,test,76,91,167,37,0,52.188
1046,,,,,112,test,63,45,108,90,0,33.75
1047,,,,,112,test,66,91,157,45,0,49.062
1048,,,,,112,test,29,29,58,138,0,18.125
1049,,,,,112,test,64,42,106,92,0,33.125
1050,,,,,112,test,52,39,91,107,0,28.438
1051,,,,,112,test,55,66,121,77,0,37.812
1052,,,,,112,test,80,61,141,59,0,44.062
1053,,,,,112,test,50,21,71,126,0,22.188
1054,,,,,112,test,70,52,122,76,0,38.125
1055,,,,,112,test,110,96,206,13,0,64.375
1056,,,,,112,test,15,22,37,156,0,11.562
1057,,,,,112,test,56,47,103,95,0,32.188
1058,,,,,112,test,25,22,47,149,0,14.688
1059,,,,,112,test,65,61,126,73,0,39.375
1061,,,,,112,test,59,72,131,69,0,40.938
1063,,,,,112,test,55,81,136,64,0,42.5
1064,,,,,112,test,30,61,91,107,0,28.438
1065,,,,,112,test,25,31,56,140,0,17.5
1067,,,,,112,test,10,1,11,176,0,3.438
1068,,,,,112,test,30,41,71,126,0,22.188
1069,,,,,112,test,45,76,121,77,0,37.812
1070,,,,,112,test,85,102,187,23,0,58.438
1071,,,,,112,test,89,59,148,52,0,46.25
1072,,,,,112,test,35,56,91,107,0,28.438
1073,,,,,112,test,27,60,87,111,0,27.188
1074,,,,,112,test,55,51,106,92,0,33.125
1075,,,,,112,test,48,11,59,137,0,18.438
1078,,,,,112,test,15,61,76,121,0,23.75
1079,,,,,112,test,17,28,45,151,0,14.062
1080,,,,,112,test,6,41,47,149,0,14.688
