CANDIDATE ID	CANDIDATE NAME	FATHER	GROUP	OTHER	Test ID	Test	sub-Current Affairs	sub-General Science	Total	Test Rank	Group Rank	Percentage
510					116	GK18	40	40	80	61	0	20
511					116	GK18	20	65	85	56	0	21.25
513					116	GK18	30	82	112	31	0	28
514					116	GK18	25	70	95	46	0	23.75
516					116	GK18	51	86	137	10	0	34.25
517					116	GK18	35	61	96	45	0	24
518					116	GK18	55	80	135	11	0	33.75
523					116	GK18	40	75	115	28	0	28.75
528					116	GK18	10	55	65	76	0	16.25
530					116	GK18	20	60	80	61	0	20
531					116	GK18	53	73	126	18	0	31.5
532					116	GK18	15	30	45	96	0	11.25
534					116	GK18	24	44	68	73	0	17
535					116	GK18	37	80	117	26	0	29.25
536					116	GK18	20	5	25	113	0	6.25
537					116	GK18	10	10	20	117	0	5
540					116	GK18	5	50	55	86	0	13.75
541					116	GK18	55	60	115	28	0	28.75
545					116	GK18	5	50	55	86	0	13.75
548					116	GK18	23	62	85	56	0	21.25
549					116	GK18	6	32	38	102	0	9.5
551					116	GK18	23	79	102	39	0	25.5
553					116	GK18	64	58	122	22	0	30.5
554					116	GK18	22	55	77	64	0	19.25
556					116	GK18	0	80	80	61	0	20
558					116	GK18	19	50	69	72	0	17.25
563					116	GK18	20	45	65	76	0	16.25
564					116	GK18	5	45	50	91	0	12.5
565					116	GK18	20	30	50	91	0	12.5
566					116	GK18	35	45	80	61	0	20
570					116	GK18	27	68	95	46	0	23.75
571					116	GK18	61	72	133	13	0	33.25
573					116	GK18	30	10	40	100	0	10
575					116	GK18	5	35	40	100	0	10
576					116	GK18	0	30	30	108	0	7.5
581					116	GK18	20	55	75	66	0	18.75
582					116	GK18	10	30	40	100	0	10
583					116	GK18	35	31	66	75	0	16.5
585					116	GK18	15	45	60	81	0	15
586					116	GK18	25	15	40	100	0	10
587					116	GK18	61	100	161	3	0	40.25
611					116	GK18	41	45	86	55	0	21.5
612					116	GK18	31	44	75	66	0	18.75
613					116	GK18	16	30	46	95	0	11.5
614					116	GK18	-5	20	15	120	0	3.75
615					116	GK18	9	16	25	113	0	6.25
616					116	GK18	14	7	21	116	0	5.25
617					116	GK18	31	45	76	65	0	19
618					116	GK18	8	28	36	104	0	9
619					116	GK18	18	39	57	84	0	14.25
620					116	GK18	10	9	19	118	0	4.75
621					116	GK18	30	50	80	61	0	20
622					116	GK18	-10	18	8	126	0	2
623					116	GK18	15	18	33	106	0	8.25
624					116	GK18	0	25	25	113	0	6.25
628					116	GK18	34	68	102	39	0	25.5
630					116	GK18	2	21	23	115	0	5.75
631					116	GK18	5	5	10	124	0	2.5
632					116	GK18	45	70	115	28	0	28.75
633					116	GK18	12	34	46	95	0	11.5
634					116	GK18	34	63	97	44	0	24.25
635					116	GK18	22	25	47	94	0	11.75
636					116	GK18	46	41	87	54	0	21.75
641					116	GK18	20	45	65	76	0	16.25
647					116	GK18	23	17	40	100	0	10
661					116	GK18	23	14	37	103	0	9.25
662					116	GK18	-15	13	-2	134	0	0
664					116	GK18	20	55	75	66	0	18.75
665					116	GK18	29	69	98	43	0	24.5
666					116	GK18	32	52	84	57	0	21
667					116	GK18	38	39	77	64	0	19.25
669					116	GK18	29	70	99	42	0	24.75
670					116	GK18	45	27	72	69	0	18
676					116	GK18	8	66	74	67	0	18.5
678					116	GK18	-2	0	-2	134	0	0
682					116	GK18	5	20	25	113	0	6.25
683					116	GK18	29	63	92	49	0	23
684					116	GK18	25	30	55	86	0	13.75
685					116	GK18	35	60	95	46	0	23.75
686					116	GK18	20	50	70	71	0	17.5
687					116	GK18	28	39	67	74	0	16.75
693					116	GK18	40	50	90	51	0	22.5
694					116	GK18	9	33	42	98	0	10.5
707					116	GK18	20	45	65	76	0	16.25
710					116	GK18	15	46	61	80	0	15.25
712					116	GK18	50	60	110	33	0	27.5
717					116	GK18	15	16	31	107	0	7.75
719					116	GK18	-3	30	27	111	0	6.75
721					116	GK18	15	10	25	113	0	6.25
724					116	GK18	25	77	102	39	0	25.5
726					116	GK18	35	65	100	41	0	25
728					116	GK18	25	95	120	24	0	30
729					116	GK18	33	69	102	39	0	25.5
799					116	GK18	12	24	36	104	0	9
803					116	GK18	17	-5	12	122	0	3
812					116	GK18	40	61	101	40	0	25.25
813					116	GK18	60	45	105	37	0	26.25
817					116	GK18	32	76	108	34	0	27
818					116	GK18	9	27	36	104	0	9
819					116	GK18	51	44	95	46	0	23.75
823					116	GK18	40	70	110	33	0	27.5
827					116	GK18	25	20	45	96	0	11.25
830					116	GK18	-15	20	5	129	0	1.25
835					116	GK18	15	70	85	56	0	21.25
840					116	GK18	22	25	47	94	0	11.75
841					116	GK18	25	35	60	81	0	15
842					116	GK18	15	35	50	91	0	12.5
843					116	GK18	7	4	11	123	0	2.75
844					116	GK18	35	25	60	81	0	15
846					116	GK18	35	65	100	41	0	25
849					116	GK18	16	46	62	79	0	15.5
850					116	GK18	40	55	95	46	0	23.75
852					116	GK18	35	55	90	51	0	22.5
884					116	GK18	20	50	70	71	0	17.5
887					116	GK18	46	56	102	39	0	25.5
888					116	GK18	-5	17	12	122	0	3
920					116	GK18	14	24	38	102	0	9.5
923					116	GK18	66	35	101	40	0	25.25
925					116	GK18	20	21	41	99	0	10.25
926					116	GK18	35	50	85	56	0	21.25
927					116	GK18	20	55	75	66	0	18.75
928					116	GK18	22	77	99	42	0	24.75
929					116	GK18	34	64	98	43	0	24.5
930					116	GK18	25	30	55	86	0	13.75
931					116	GK18	20	45	65	76	0	16.25
935					116	GK18	30	25	55	86	0	13.75
936					116	GK18	20	40	60	81	0	15
937					116	GK18	20	55	75	66	0	18.75
939					116	GK18	20	45	65	76	0	16.25
942					116	GK18	15	-19	-4	136	0	0
943					116	GK18	46	50	96	45	0	24
945					116	GK18	39	28	67	74	0	16.75
950					116	GK18	30	40	70	71	0	17.5
953					116	GK18	40	45	85	56	0	21.25
954					116	GK18	26	30	56	85	0	14
955					116	GK18	55	67	122	22	0	30.5
956					116	GK18	35	25	60	81	0	15
957					116	GK18	15	29	44	97	0	11
958					116	GK18	40	30	70	71	0	17.5
959					116	GK18	58	55	113	30	0	28.25
960					116	GK18	30	80	110	33	0	27.5
962					116	GK18	53	58	111	32	0	27.75
964					116	GK18	48	49	97	44	0	24.25
965					116	GK18	-5	45	40	100	0	10
967					116	GK18	25	50	75	66	0	18.75
968					116	GK18	-4	12	8	126	0	2
971					116	GK18	25	25	50	91	0	12.5
972					116	GK18	-10	40	30	108	0	7.5
973					116	GK18	15	10	25	113	0	6.25
974					116	GK18	25	40	65	76	0	16.25
976					116	GK18	25	65	90	51	0	22.5
977					116	GK18	25	45	70	71	0	17.5
980					116	GK18	5	28	33	106	0	8.25
982					116	GK18	31	20	51	90	0	12.75
983					116	GK18	-5	26	21	116	0	5.25
984					116	GK18	-15	20	5	129	0	1.25
985					116	GK18	30	75	105	37	0	26.25
988					116	GK18	20	60	80	61	0	20
989					116	GK18	51	41	92	49	0	23
991					116	GK18	2	64	66	75	0	16.5
995					116	GK18	15	50	65	76	0	16.25
996					116	GK18	40	25	65	76	0	16.25
1001					116	GK18	29	10	39	101	0	9.75
1002					116	GK18	25	60	85	56	0	21.25
1003					116	GK18	30	45	75	66	0	18.75
1004					116	GK18	20	35	55	86	0	13.75
1005					116	GK18	25	40	65	76	0	16.25
1006					116	GK18	41	55	96	45	0	24
1007					116	GK18	20	15	35	105	0	8.75
1009					116	GK18	14	33	47	94	0	11.75
1011					116	GK18	20	-15	5	129	0	1.25
1013					116	GK18	12	5	17	119	0	4.25
1014					116	GK18	34	51	85	56	0	21.25
1016					116	GK18	55	70	125	19	0	31.25
1017					116	GK18	30	59	89	52	0	22.25
1019					116	GK18	30	35	65	76	0	16.25
1020					116	GK18	25	90	115	28	0	28.75
1021					116	GK18	15	50	65	76	0	16.25
1022					116	GK18	55	60	115	28	0	28.75
1023					116	GK18	30	20	50	91	0	12.5
1024					116	GK18	35	50	85	56	0	21.25
1025					116	GK18	15	16	31	107	0	7.75
1027					116	GK18	33	51	84	57	0	21
1029					116	GK18	15	52	67	74	0	16.75
1032					116	GK18	13	38	51	90	0	12.75
1036					116	GK18	6	25	31	107	0	7.75
1038					116	GK18	-5	40	35	105	0	8.75
1039					116	GK18	5	47	52	89	0	13
1040					116	GK18	5	40	45	96	0	11.25
1041					116	GK18	-1	29	28	110	0	7
1044					116	GK18	55	60	115	28	0	28.75
1048					116	GK18	20	35	55	86	0	13.75
1049					116	GK18	10	45	55	86	0	13.75
1053					116	GK18	30	47	77	64	0	19.25
1055					116	GK18	16	28	44	97	0	11
1056					116	GK18	25	75	100	41	0	25
1058					116	GK18	9	37	46	95	0	11.5
1060					116	GK18	27	31	58	83	0	14.5
1062					116	GK18	30	16	46	95	0	11.5
1063					116	GK18	-13	73	60	81	0	15
1065					116	GK18	40	20	60	81	0	15
1067					116	GK18	15	15	30	108	0	7.5
1068					116	GK18	50	61	111	32	0	27.75
1073					116	GK18	40	25	65	76	0	16.25
1077					116	GK18	3	63	66	75	0	16.5
1078					116	GK18	36	48	84	57	0	21
1079					116	GK18	18	69	87	54	0	21.75
1081					116	GK18	5	50	55	86	0	13.75
1083					116	GK18	25	25	50	91	0	12.5
1088					116	GK18	15	45	60	81	0	15
1090					116	GK18	45	75	120	24	0	30
1094					116	GK18	14	65	79	62	0	19.75
1096					116	GK18	23	58	81	60	0	20.25
1097					116	GK18	0	30	30	108	0	7.5
1099					116	GK18	1	50	51	90	0	12.75
1101					116	GK18	-5	25	20	117	0	5
1103					116	GK18	7	58	65	76	0	16.25
1104					116	GK18	5	30	35	105	0	8.75
1106					116	GK18	13	49	62	79	0	15.5
1108					116	GK18	-5	6	1	131	0	0.25
1109					116	GK18	10	63	73	68	0	18.25
1111					116	GK18	32	50	82	59	0	20.5
1112					116	GK18	53	65	118	25	0	29.5
1113					116	GK18	29	47	76	65	0	19
1114					116	GK18	25	35	60	81	0	15
1117					116	GK18	50	54	104	38	0	26
1120					116	GK18	3	35	38	102	0	9.5
1121					116	GK18	25	46	71	70	0	17.75
1123					116	GK18	5	50	55	86	0	13.75
1124					116	GK18	39	47	86	55	0	21.5
1125					116	GK18	30	35	65	76	0	16.25
1126					116	GK18	40	66	106	36	0	26.5
1127					116	GK18	22	65	87	54	0	21.75
1128					116	GK18	20	70	90	51	0	22.5
1129					116	GK18	25	56	81	60	0	20.25
1130					116	GK18	19	29	48	93	0	12
1132					116	GK18	25	65	90	51	0	22.5
1133					116	GK18	26	33	59	82	0	14.75
1134					116	GK18	10	60	70	71	0	17.5
1135					116	GK18	0	20	20	117	0	5
1136					116	GK18	48	22	70	71	0	17.5
1137					116	GK18	9	40	49	92	0	12.25
1139					116	GK18	10	25	35	105	0	8.75
1141					116	GK18	24	36	60	81	0	15
1142					116	GK18	23	43	66	75	0	16.5
1143					116	GK18	20	50	70	71	0	17.5
1144					116	GK18	32	60	92	49	0	23
1146					116	GK18	25	50	75	66	0	18.75
1148					116	GK18	15	30	45	96	0	11.25
1152					116	GK18	23	56	79	62	0	19.75
1154					116	GK18	51	80	131	14	0	32.75
1160					116	GK18	35	50	85	56	0	21.25
1162					116	GK18	5	40	45	96	0	11.25
1171					116	GK18	55	86	141	8	0	35.25
1172					116	GK18	30	46	76	65	0	19
1173					116	GK18	14	41	55	86	0	13.75
1174					116	GK18	20	60	80	61	0	20
1180					116	GK18	1	46	47	94	0	11.75
1181					116	GK18	20	100	120	24	0	30
1182					116	GK18	30	50	80	61	0	20
1183					116	GK18	38	76	114	29	0	28.5
1184					116	GK18	60	80	140	9	0	35
1185					116	GK18	39	59	98	43	0	24.5
1191					116	GK18	25	64	89	52	0	22.25
1192					116	GK18	55	60	115	28	0	28.75
1193					116	GK18	35	65	100	41	0	25
1194					116	GK18	19	44	63	78	0	15.75
1195					116	GK18	10	60	70	71	0	17.5
1198					116	GK18	20	40	60	81	0	15
1199					116	GK18	20	40	60	81	0	15
1201					116	GK18	25	65	90	51	0	22.5
1202					116	GK18	22	76	98	43	0	24.5
1203					116	GK18	55	50	105	37	0	26.25
1204					116	GK18	15	25	40	100	0	10
1205					116	GK18	21	49	70	71	0	17.5
1210					116	GK18	12	47	59	82	0	14.75
1214					116	GK18	40	51	91	50	0	22.75
1216					116	GK18	27	35	62	79	0	15.5
1218					116	GK18	-5	45	40	100	0	10
1222					116	GK18	40	65	105	37	0	26.25
1225					116	GK18	45	47	92	49	0	23
1228					116	GK18	30	17	47	94	0	11.75
1229					116	GK18	30	60	90	51	0	22.5
1230					116	GK18	-7	6	-1	133	0	0
1231					116	GK18	26	31	57	84	0	14.25
1232					116	GK18	41	71	112	31	0	28
1234					116	GK18	20	21	41	99	0	10.25
1235					116	GK18	45	40	85	56	0	21.25
1236					116	GK18	60	65	125	19	0	31.25
1237					116	GK18	18	37	55	86	0	13.75
1238					116	GK18	1	41	42	98	0	10.5
1239					116	GK18	30	40	70	71	0	17.5
1240					116	GK18	26	45	71	70	0	17.75
1241					116	GK18	14	37	51	90	0	12.75
1244					116	GK18	-4	14	10	124	0	2.5
1245					116	GK18	30	25	55	86	0	13.75
1247					116	GK18	20	20	40	100	0	10
1249					116	GK18	3	49	52	89	0	13
1251					116	GK18	55	87	142	7	0	35.5
1253					116	GK18	20	35	55	86	0	13.75
1254					116	GK18	30	65	95	46	0	23.75
1255					116	GK18	37	54	91	50	0	22.75
1256					116	GK18	0	35	35	105	0	8.75
1257					116	GK18	50	95	145	5	0	36.25
1258					116	GK18	10	50	60	81	0	15
1260					116	GK18	29	92	121	23	0	30.25
1261					116	GK18	8	51	59	82	0	14.75
1262					116	GK18	31	61	92	49	0	23
1264					116	GK18	50	75	125	19	0	31.25
1265					116	GK18	66	54	120	24	0	30
1266					116	GK18	38	40	78	63	0	19.5
1268					116	GK18	30	41	71	70	0	17.75
1271					116	GK18	35	-4	31	107	0	7.75
1272					116	GK18	30	55	85	56	0	21.25
1275					116	GK18	35	70	105	37	0	26.25
1276					116	GK18	50	67	117	26	0	29.25
1278					116	GK18	11	71	82	59	0	20.5
1279					116	GK18	5	40	45	96	0	11.25
1282					116	GK18	37	69	106	36	0	26.5
1284					116	GK18	35	105	140	9	0	35
1298					116	GK18	50	25	75	66	0	18.75
1299					116	GK18	25	54	79	62	0	19.75
1300					116	GK18	16	40	56	85	0	14
1301					116	GK18	34	43	77	64	0	19.25
1302					116	GK18	25	25	50	91	0	12.5
1309					116	GK18	18	10	28	110	0	7
1314					116	GK18	45	60	105	37	0	26.25
1317					116	GK18	10	64	74	67	0	18.5
1318					116	GK18	27	50	77	64	0	19.25
1320					116	GK18	35	30	65	76	0	16.25
1321					116	GK18	25	50	75	66	0	18.75
1323					116	GK18	40	81	121	23	0	30.25
1324					116	GK18	55	75	130	15	0	32.5
1325					116	GK18	2	18	20	117	0	5
1326					116	GK18	7	31	38	102	0	9.5
1327					116	GK18	20	55	75	66	0	18.75
1330					116	GK18	-2	48	46	95	0	11.5
1333					116	GK18	17	50	67	74	0	16.75
1335					116	GK18	58	84	142	7	0	35.5
1336					116	GK18	6	51	57	84	0	14.25
1338					116	GK18	32	26	58	83	0	14.5
1345					116	GK18	10	75	85	56	0	21.25
1346					116	GK18	20	10	30	108	0	7.5
1349					116	GK18	14	45	59	82	0	14.75
1351					116	GK18	-9	40	31	107	0	7.75
1353					116	GK18	17	59	76	65	0	19
1356					116	GK18	10	16	26	112	0	6.5
1358					116	GK18	50	70	120	24	0	30
1359					116	GK18	40	70	110	33	0	27.5
1362					116	GK18	8	57	65	76	0	16.25
1363					116	GK18	-18	-8	-26	141	0	0
1364					116	GK18	2	2	4	130	0	1
1365					116	GK18	25	35	60	81	0	15
1366					116	GK18	25	20	45	96	0	11.25
1367					116	GK18	40	26	66	75	0	16.5
1368					116	GK18	15	45	60	81	0	15
1372					116	GK18	42	52	94	47	0	23.5
1373					116	GK18	35	54	89	52	0	22.25
1376					116	GK18	32	85	117	26	0	29.25
1377					116	GK18	24	80	104	38	0	26
1379					116	GK18	20	10	30	108	0	7.5
1380					116	GK18	36	30	66	75	0	16.5
1381					116	GK18	23	50	73	68	0	18.25
1382					116	GK18	25	55	80	61	0	20
1383					116	GK18	20	40	60	81	0	15
1385					116	GK18	-15	5	-10	139	0	0
1387					116	GK18	35	25	60	81	0	15
1388					116	GK18	31	45	76	65	0	19
1389					116	GK18	40	40	80	61	0	20
1391					116	GK18	25	51	76	65	0	19
1392					116	GK18	43	92	135	11	0	33.75
1393					116	GK18	41	56	97	44	0	24.25
1394					116	GK18	8	58	66	75	0	16.5
1396					116	GK18	13	46	59	82	0	14.75
1398					116	GK18	26	25	51	90	0	12.75
1400					116	GK18	9	8	17	119	0	4.25
1401					116	GK18	28	76	104	38	0	26
1402					116	GK18	0	31	31	107	0	7.75
1403					116	GK18	-8	5	-3	135	0	0
1405					116	GK18	20	35	55	86	0	13.75
1408					116	GK18	6	20	26	112	0	6.5
1409					116	GK18	15	52	67	74	0	16.75
1410					116	GK18	60	35	95	46	0	23.75
1412					116	GK18	35	36	71	70	0	17.75
1414					116	GK18	20	20	40	100	0	10
1417					116	GK18	25	45	70	71	0	17.5
1419					116	GK18	60	25	85	56	0	21.25
1420					116	GK18	30	35	65	76	0	16.25
1423					116	GK18	10	25	35	105	0	8.75
1424					116	GK18	30	30	60	81	0	15
1427					116	GK18	5	55	60	81	0	15
1429					116	GK18	23	40	63	78	0	15.75
1430					116	GK18	15	40	55	86	0	13.75
1432					116	GK18	45	75	120	24	0	30
1433					116	GK18	65	30	95	46	0	23.75
1435					116	GK18	20	77	97	44	0	24.25
1436					116	GK18	50	50	100	41	0	25
1437					116	GK18	32	38	70	71	0	17.5
1443					116	GK18	31	67	98	43	0	24.5
1444					116	GK18	30	52	82	59	0	20.5
1446					116	GK18	41	60	101	40	0	25.25
1449					116	GK18	20	35	55	86	0	13.75
1460					116	GK18	25	43	68	73	0	17
1473					116	GK18	35	35	70	71	0	17.5
1480					116	GK18	25	34	59	82	0	14.75
1484					116	GK18	15	30	45	96	0	11.25
1488					116	GK18	50	55	105	37	0	26.25
1489					116	GK18	15	52	67	74	0	16.75
1491					116	GK18	42	73	115	28	0	28.75
1492					116	GK18	35	64	99	42	0	24.75
1493					116	GK18	5	10	15	120	0	3.75
1497					116	GK18	41	48	89	52	0	22.25
1498					116	GK18	15	51	66	75	0	16.5
1499					116	GK18	21	33	54	87	0	13.5
1501					116	GK18	31	35	66	75	0	16.5
1510					116	GK18	26	80	106	36	0	26.5
1511					116	GK18	20	45	65	76	0	16.25
1514					116	GK18	0	40	40	100	0	10
1515					116	GK18	20	40	60	81	0	15
1517					116	GK18	30	76	106	36	0	26.5
1519					116	GK18	-5	1	-4	136	0	0
1520					116	GK18	19	67	86	55	0	21.5
1521					116	GK18	30	86	116	27	0	29
1522					116	GK18	35	96	131	14	0	32.75
