CANDIDATE ID,CANDIDATE NAME,FATHER,GROUP,OTHER,Test ID,Test,Current Affairs,General Science,Total,Test Rank,Group Rank,Percentage
0510,,,,,116,GK18,40,40,80,63,0,20
0511,,,,,116,GK18,20,65,85,58,0,21.25
0513,,,,,116,GK18,30,82,112,33,0,28
0514,,,,,116,GK18,25,70,95,48,0,23.75
0516,,,,,116,GK18,51,86,137,10,0,34.25
0517,,,,,116,GK18,35,61,96,47,0,24
0518,,,,,116,GK18,55,80,135,11,0,33.75
0523,,,,,116,GK18,40,75,115,30,0,28.75
0528,,,,,116,GK18,10,55,65,78,0,16.25
0530,,,,,116,GK18,20,60,80,63,0,20
0531,,,,,116,GK18,53,73,126,19,0,31.5
0532,,,,,116,GK18,15,30,45,98,0,11.25
0534,,,,,116,GK18,24,44,68,75,0,17
0535,,,,,116,GK18,37,80,117,28,0,29.25
0536,,,,,116,GK18,20,5,25,115,0,6.25
0537,,,,,116,GK18,10,10,20,119,0,5
0540,,,,,116,GK18,5,50,55,88,0,13.75
0541,,,,,116,GK18,55,60,115,30,0,28.75
0545,,,,,116,GK18,5,50,55,88,0,13.75
0548,,,,,116,GK18,23,62,85,58,0,21.25
0549,,,,,116,GK18,6,32,38,104,0,9.5
0551,,,,,116,GK18,23,79,102,41,0,25.5
0553,,,,,116,GK18,64,58,122,23,0,30.5
0554,,,,,116,GK18,22,55,77,66,0,19.25
0556,,,,,116,GK18,0,80,80,63,0,20
0558,,,,,116,GK18,19,50,69,74,0,17.25
0563,,,,,116,GK18,20,45,65,78,0,16.25
0564,,,,,116,GK18,5,45,50,93,0,12.5
0565,,,,,116,GK18,20,30,50,93,0,12.5
0566,,,,,116,GK18,35,45,80,63,0,20
0570,,,,,116,GK18,27,68,95,48,0,23.75
0571,,,,,116,GK18,61,72,133,13,0,33.25
0573,,,,,116,GK18,30,10,40,102,0,10
0575,,,,,116,GK18,5,35,40,102,0,10
0576,,,,,116,GK18,0,30,30,110,0,7.5
0581,,,,,116,GK18,20,55,75,68,0,18.75
0582,,,,,116,GK18,10,30,40,102,0,10
0583,,,,,116,GK18,35,31,66,77,0,16.5
0585,,,,,116,GK18,15,45,60,83,0,15
0586,,,,,116,GK18,25,15,40,102,0,10
0587,,,,,116,GK18,61,100,161,3,0,40.25
0611,,,,,116,GK18,41,45,86,57,0,21.5
0612,,,,,116,GK18,31,44,75,68,0,18.75
0613,,,,,116,GK18,16,30,46,97,0,11.5
0614,,,,,116,GK18,-5,20,15,123,0,3.75
0615,,,,,116,GK18,9,16,25,115,0,6.25
0616,,,,,116,GK18,14,7,21,118,0,5.25
0617,,,,,116,GK18,31,45,76,67,0,19
0618,,,,,116,GK18,8,28,36,106,0,9
0619,,,,,116,GK18,18,39,57,86,0,14.25
0620,,,,,116,GK18,10,9,19,120,0,4.75
0621,,,,,116,GK18,30,50,80,63,0,20
0622,,,,,116,GK18,-10,18,8,130,0,2
0623,,,,,116,GK18,15,18,33,108,0,8.25
0624,,,,,116,GK18,0,25,25,115,0,6.25
0628,,,,,116,GK18,34,68,102,41,0,25.5
0630,,,,,116,GK18,2,21,23,117,0,5.75
0631,,,,,116,GK18,5,5,10,128,0,2.5
0632,,,,,116,GK18,45,70,115,30,0,28.75
0633,,,,,116,GK18,12,34,46,97,0,11.5
0634,,,,,116,GK18,34,63,97,46,0,24.25
0635,,,,,116,GK18,22,25,47,96,0,11.75
0636,,,,,116,GK18,46,41,87,56,0,21.75
0641,,,,,116,GK18,20,45,65,78,0,16.25
0643,,,,,116,GK18,25,25,50,93,0,12.5
0644,,,,,116,GK18,-10,10,0,136,0,0
0645,,,,,116,GK18,5,-9,-4,140,0,0
0647,,,,,116,GK18,23,17,40,102,0,10
0661,,,,,116,GK18,23,14,37,105,0,9.25
0662,,,,,116,GK18,-15,13,-2,138,0,0
0664,,,,,116,GK18,20,55,75,68,0,18.75
0665,,,,,116,GK18,29,69,98,45,0,24.5
0666,,,,,116,GK18,32,52,84,59,0,21
0667,,,,,116,GK18,38,39,77,66,0,19.25
0669,,,,,116,GK18,29,70,99,44,0,24.75
0670,,,,,116,GK18,45,27,72,71,0,18
0676,,,,,116,GK18,8,66,74,69,0,18.5
0678,,,,,116,GK18,-2,0,-2,138,0,0
0682,,,,,116,GK18,5,20,25,115,0,6.25
0683,,,,,116,GK18,29,63,92,51,0,23
0684,,,,,116,GK18,25,30,55,88,0,13.75
0685,,,,,116,GK18,35,60,95,48,0,23.75
0686,,,,,116,GK18,20,50,70,73,0,17.5
0687,,,,,116,GK18,28,39,67,76,0,16.75
0693,,,,,116,GK18,40,50,90,53,0,22.5
0694,,,,,116,GK18,9,33,42,100,0,10.5
0707,,,,,116,GK18,20,45,65,78,0,16.25
0710,,,,,116,GK18,15,46,61,82,0,15.25
0712,,,,,116,GK18,50,60,110,35,0,27.5
0717,,,,,116,GK18,15,16,31,109,0,7.75
0719,,,,,116,GK18,-3,30,27,113,0,6.75
0721,,,,,116,GK18,15,10,25,115,0,6.25
0724,,,,,116,GK18,25,77,102,41,0,25.5
0726,,,,,116,GK18,35,65,100,43,0,25
0728,,,,,116,GK18,25,95,120,25,0,30
0729,,,,,116,GK18,33,69,102,41,0,25.5
0744,,,,,116,GK18,30,85,115,30,0,28.75
0747,,,,,116,GK18,19,54,73,70,0,18.25
0755,,,,,116,GK18,30,30,60,83,0,15
0758,,,,,116,GK18,16,59,75,68,0,18.75
0760,,,,,116,GK18,1,43,44,99,0,11
0763,,,,,116,GK18,44,76,120,25,0,30
0768,,,,,116,GK18,59,57,116,29,0,29
0770,,,,,116,GK18,45,61,106,38,0,26.5
0771,,,,,116,GK18,-7,42,35,107,0,8.75
0776,,,,,116,GK18,41,70,111,34,0,27.75
0777,,,,,116,GK18,33,56,89,54,0,22.25
0780,,,,,116,GK18,40,79,119,26,0,29.75
0783,,,,,116,GK18,33,72,105,39,0,26.25
0785,,,,,116,GK18,20,45,65,78,0,16.25
0789,,,,,116,GK18,45,51,96,47,0,24
0790,,,,,116,GK18,20,40,60,83,0,15
0792,,,,,116,GK18,48,84,132,14,0,33
0794,,,,,116,GK18,30,62,92,51,0,23
0799,,,,,116,GK18,12,24,36,106,0,9
0803,,,,,116,GK18,17,-5,12,126,0,3
0812,,,,,116,GK18,40,61,101,42,0,25.25
0813,,,,,116,GK18,60,45,105,39,0,26.25
0817,,,,,116,GK18,32,76,108,36,0,27
0818,,,,,116,GK18,9,27,36,106,0,9
0819,,,,,116,GK18,51,44,95,48,0,23.75
0823,,,,,116,GK18,40,70,110,35,0,27.5
0827,,,,,116,GK18,25,20,45,98,0,11.25
0830,,,,,116,GK18,-15,20,5,133,0,1.25
0835,,,,,116,GK18,15,70,85,58,0,21.25
0840,,,,,116,GK18,22,25,47,96,0,11.75
0841,,,,,116,GK18,25,35,60,83,0,15
0842,,,,,116,GK18,15,35,50,93,0,12.5
0843,,,,,116,GK18,7,4,11,127,0,2.75
0844,,,,,116,GK18,35,25,60,83,0,15
0846,,,,,116,GK18,35,65,100,43,0,25
0849,,,,,116,GK18,16,46,62,81,0,15.5
0850,,,,,116,GK18,40,55,95,48,0,23.75
0852,,,,,116,GK18,35,55,90,53,0,22.5
0884,,,,,116,GK18,20,50,70,73,0,17.5
0886,,,,,116,GK18,40,60,100,43,0,25
0887,,,,,116,GK18,46,56,102,41,0,25.5
0888,,,,,116,GK18,-5,17,12,126,0,3
0889,,,,,116,GK18,30,26,56,87,0,14
0892,,,,,116,GK18,15,42,57,86,0,14.25
0894,,,,,116,GK18,65,65,130,16,0,32.5
0895,,,,,116,GK18,40,45,85,58,0,21.25
0898,,,,,116,GK18,55,40,95,48,0,23.75
0905,,,,,116,GK18,5,15,20,119,0,5
0908,,,,,116,GK18,35,25,60,83,0,15
0920,,,,,116,GK18,14,24,38,104,0,9.5
0923,,,,,116,GK18,66,35,101,42,0,25.25
0925,,,,,116,GK18,20,21,41,101,0,10.25
0926,,,,,116,GK18,35,50,85,58,0,21.25
0927,,,,,116,GK18,20,55,75,68,0,18.75
0928,,,,,116,GK18,22,77,99,44,0,24.75
0929,,,,,116,GK18,34,64,98,45,0,24.5
0930,,,,,116,GK18,25,30,55,88,0,13.75
0931,,,,,116,GK18,20,45,65,78,0,16.25
0935,,,,,116,GK18,30,25,55,88,0,13.75
0936,,,,,116,GK18,20,40,60,83,0,15
0937,,,,,116,GK18,20,55,75,68,0,18.75
