CANDIDATE ID,CANDIDATE NAME,FATHER,GROUP,OTHER,Test ID,Test,General Science,Social Science,Total,Test Rank,Group Rank,Percentage
3141,,,,,119,Junior Scientist 2019,0,45,45,74,0,14.062
3143,,,,,119,Junior Scientist 2019,80,10,90,33,0,28.125
3145,,,,,119,Junior Scientist 2019,15,15,30,88,0,9.375
3147,,,,,119,Junior Scientist 2019,111,14,125,9,0,39.062
3149,,,,,119,Junior Scientist 2019,89,46,135,4,0,42.188
3150,,,,,119,Junior Scientist 2019,104,24,128,7,0,40
3151,,,,,119,Junior Scientist 2019,55,30,85,38,0,26.562
3155,,,,,119,Junior Scientist 2019,30,25,55,64,0,17.188
3157,,,,,119,Junior Scientist 2019,40,10,50,69,0,15.625
3159,,,,,119,Junior Scientist 2019,96,22,118,13,0,36.875
3160,,,,,119,Junior Scientist 2019,65,9,74,47,0,23.125
3161,,,,,119,Junior Scientist 2019,39,2,41,78,0,12.812
3162,,,,,119,Junior Scientist 2019,27,48,75,46,0,23.438
3163,,,,,119,Junior Scientist 2019,49,16,65,55,0,20.312
3164,,,,,119,Junior Scientist 2019,85,55,140,2,0,43.75
3165,,,,,119,Junior Scientist 2019,-5,-5,-10,107,0,0
3166,,,,,119,Junior Scientist 2019,76,47,123,10,0,38.438
3168,,,,,119,Junior Scientist 2019,42,35,77,44,0,24.062
3169,,,,,119,Junior Scientist 2019,10,-3,7,100,0,2.188
3170,,,,,119,Junior Scientist 2019,65,25,90,33,0,28.125
3171,,,,,119,Junior Scientist 2019,61,9,70,51,0,21.875
3172,,,,,119,Junior Scientist 2019,9,35,44,75,0,13.75
3173,,,,,119,Junior Scientist 2019,40,39,79,42,0,24.688
3175,,,,,119,Junior Scientist 2019,66,71,137,3,0,42.812
3176,,,,,119,Junior Scientist 2019,56,15,71,50,0,22.188
3177,,,,,119,Junior Scientist 2019,95,25,120,12,0,37.5
3178,,,,,119,Junior Scientist 2019,14,9,23,92,0,7.188
3180,,,,,119,Junior Scientist 2019,85,26,111,17,0,34.688
3185,,,,,119,Junior Scientist 2019,15,70,85,38,0,26.562
3186,,,,,119,Junior Scientist 2019,35,4,39,80,0,12.188
3187,,,,,119,Junior Scientist 2019,88,10,98,26,0,30.625
3188,,,,,119,Junior Scientist 2019,15,-5,10,99,0,3.125
3189,,,,,119,Junior Scientist 2019,25,5,30,88,0,9.375
3190,,,,,119,Junior Scientist 2019,115,5,120,12,0,37.5
3191,,,,,119,Junior Scientist 2019,41,5,46,73,0,14.375
3193,,,,,119,Junior Scientist 2019,22,29,51,68,0,15.938
3197,,,,,119,Junior Scientist 2019,50,27,77,44,0,24.062
