CANDIDATE ID	CANDIDATE NAME	FATHER	GROUP	OTHER	Test ID	Test	Verbal Ability	Current Affairs	General Science	Social Science	Total	Test Rank	Group Rank	Percentage
3615					120	Civil Service 2019	35	45	35	25	140	14	0	43.75
3616					120	Civil Service 2019	20	25	5	25	75	68	0	23.438
3617					120	Civil Service 2019	5	5	10	10	30	101	0	9.375
3618					120	Civil Service 2019	12	18	15	21	66	77	0	20.625
3622					120	Civil Service 2019	25	35	15	10	85	59	0	26.562
3623					120	Civil Service 2019	25	26	23	40	114	30	0	35.625
3627					120	Civil Service 2019	24	25	13	19	81	62	0	25.312
3628					120	Civil Service 2019	26	37	18	37	118	26	0	36.875
3630					120	Civil Service 2019	18	43	16	28	105	39	0	32.812
3632					120	Civil Service 2019	34	34	27	22	117	27	0	36.562
3633					120	Civil Service 2019	29	34	17	9	89	55	0	27.812
3634					120	Civil Service 2019	20	30	30	30	110	34	0	34.375
3635					120	Civil Service 2019	22	39	17	31	109	35	0	34.062
3636					120	Civil Service 2019	0	10	5	10	25	103	0	7.812
3637					120	Civil Service 2019	16	45	30	45	136	16	0	42.5
3639					120	Civil Service 2019	18	14	12	14	58	82	0	18.125
3640					120	Civil Service 2019	18	21	21	36	96	48	0	30
3641					120	Civil Service 2019	23	31	38	22	114	30	0	35.625
3642					120	Civil Service 2019	22	28	10	18	78	65	0	24.375
3643					120	Civil Service 2019	0	15	15	5	35	97	0	10.938
3647					120	Civil Service 2019	29	39	28	29	125	21	0	39.062
3649					120	Civil Service 2019	33	33	30	18	114	30	0	35.625
3654					120	Civil Service 2019	10	30	15	21	76	67	0	23.75
3655					120	Civil Service 2019	20	16	20	37	93	51	0	29.062
3658					120	Civil Service 2019	10	35	30	35	110	34	0	34.375
3659					120	Civil Service 2019	5	6	1	21	33	99	0	10.312
3661					120	Civil Service 2019	27	37	17	14	95	49	0	29.688
3667					120	Civil Service 2019	5	25	-5	15	40	94	0	12.5
3669					120	Civil Service 2019	-7	18	2	18	31	100	0	9.688
3671					120	Civil Service 2019	20	8	-10	5	23	104	0	7.188
3675					120	Civil Service 2019	13	7	5	0	25	103	0	7.812
3678					120	Civil Service 2019	0	30	11	20	61	80	0	19.062
3681					120	Civil Service 2019	26	48	16	23	113	31	0	35.312
3683					120	Civil Service 2019	25	31	10	35	101	43	0	31.562
3685					120	Civil Service 2019	27	36	26	45	134	18	0	41.875
3686					120	Civil Service 2019	30	45	35	20	130	19	0	40.625
3692					120	Civil Service 2019	12	20	20	9	61	80	0	19.062
3699					120	Civil Service 2019	45	55	35	45	180	3	0	56.25
3700					120	Civil Service 2019	24	32	25	24	105	39	0	32.812
3701					120	Civil Service 2019	36	29	19	25	109	35	0	34.062
3702					120	Civil Service 2019	15	31	0	25	71	72	0	22.188
3703					120	Civil Service 2019	11	51	9	31	102	42	0	31.875
3706					120	Civil Service 2019	13	21	18	18	70	73	0	21.875
3707					120	Civil Service 2019	30	35	20	20	105	39	0	32.812
3708					120	Civil Service 2019	31	62	40	46	179	4	0	55.938
3714					120	Civil Service 2019	23	47	27	23	120	25	0	37.5
3715					120	Civil Service 2019	12	8	5	9	34	98	0	10.625
3718					120	Civil Service 2019	24	35	26	-1	84	60	0	26.25
3721					120	Civil Service 2019	11	37	22	15	85	59	0	26.562
3728					120	Civil Service 2019	11	46	15	22	94	50	0	29.375
3731					120	Civil Service 2019	20	30	16	9	75	68	0	23.438
3733					120	Civil Service 2019	10	35	17	15	77	66	0	24.062
3736					120	Civil Service 2019	5	25	15	-5	40	94	0	12.5
3737					120	Civil Service 2019	24	19	9	23	75	68	0	23.438
3747					120	Civil Service 2019	30	16	17	19	82	61	0	25.625
3752					120	Civil Service 2019	30	30	25	30	115	29	0	35.938
3753					120	Civil Service 2019	28	43	29	26	126	20	0	39.375
3754					120	Civil Service 2019	20	55	30	35	140	14	0	43.75
3758					120	Civil Service 2019	19	28	12	15	74	69	0	23.125
3759					120	Civil Service 2019	32	45	48	35	160	6	0	50
3760					120	Civil Service 2019	17	33	23	7	80	63	0	25
3761					120	Civil Service 2019	25	42	26	19	112	32	0	35
3762					120	Civil Service 2019	14	48	19	25	106	38	0	33.125
3764					120	Civil Service 2019	10	45	30	15	100	44	0	31.25
3769					120	Civil Service 2019	16	43	7	50	116	28	0	36.25
3773					120	Civil Service 2019	35	30	45	30	140	14	0	43.75
3774					120	Civil Service 2019	15	5	15	30	65	78	0	20.312
3777					120	Civil Service 2019	21	22	9	20	72	71	0	22.5
3780					120	Civil Service 2019	30	45	30	10	115	29	0	35.938
3781					120	Civil Service 2019	8	28	17	0	53	85	0	16.562
3782					120	Civil Service 2019	1	32	8	35	76	67	0	23.75
3783					120	Civil Service 2019	15	31	10	41	97	47	0	30.312
3785					120	Civil Service 2019	25	45	25	5	100	44	0	31.25
3787					120	Civil Service 2019	20	30	30	10	90	54	0	28.125
3790					120	Civil Service 2019	20	40	25	30	115	29	0	35.938
3791					120	Civil Service 2019	35	45	26	40	146	11	0	45.625
3793					120	Civil Service 2019	35	26	20	22	103	41	0	32.188
3794					120	Civil Service 2019	15	36	12	15	78	65	0	24.375
3795					120	Civil Service 2019	29	46	13	20	108	36	0	33.75
3796					120	Civil Service 2019	25	41	17	20	103	41	0	32.188
3797					120	Civil Service 2019	-3	15	12	17	41	93	0	12.812
3798					120	Civil Service 2019	24	10	11	21	66	77	0	20.625
3799					120	Civil Service 2019	5	16	16	12	49	89	0	15.312
3810					120	Civil Service 2019	23	42	10	16	91	53	0	28.438
3800					120	Civil Service 2019	15	35	25	45	120	25	0	37.5
3801					120	Civil Service 2019	9	48	15	22	94	50	0	29.375
3802					120	Civil Service 2019	30	28	17	26	101	43	0	31.562
3804					120	Civil Service 2019	8	33	22	25	88	56	0	27.5
3805					120	Civil Service 2019	29	44	17	33	123	23	0	38.438
3806					120	Civil Service 2019	20	35	25	35	115	29	0	35.938
3807					120	Civil Service 2019	5	5	11	15	36	96	0	11.25
3808					120	Civil Service 2019	25	20	10	30	85	59	0	26.562
3811					120	Civil Service 2019	18	19	15	29	81	62	0	25.312
3812					120	Civil Service 2019	2	17	9	30	58	82	0	18.125
3813					120	Civil Service 2019	20	26	0	30	76	67	0	23.75
3814					120	Civil Service 2019	20	16	5	0	41	93	0	12.812
3816					120	Civil Service 2019	21	44	22	35	122	24	0	38.125
3818					120	Civil Service 2019	15	21	14	18	68	75	0	21.25
3819					120	Civil Service 2019	14	8	20	10	52	86	0	16.25
3820					120	Civil Service 2019	21	35	0	11	67	76	0	20.938
3826					120	Civil Service 2019	11	42	12	22	87	57	0	27.188
3829					120	Civil Service 2019	30	55	35	40	160	6	0	50
3830					120	Civil Service 2019	17	13	-2	41	69	74	0	21.562
3831					120	Civil Service 2019	16	39	21	12	88	56	0	27.5
3833					120	Civil Service 2019	29	40	24	23	116	28	0	36.25
3834					120	Civil Service 2019	25	17	7	20	69	74	0	21.562
3836					120	Civil Service 2019	20	25	10	-5	50	88	0	15.625
3837					120	Civil Service 2019	10	35	15	5	65	78	0	20.312
3840					120	Civil Service 2019	24	35	14	16	89	55	0	27.812
3841					120	Civil Service 2019	23	46	7	20	96	48	0	30
3851					120	Civil Service 2019	28	24	16	16	84	60	0	26.25
3853					120	Civil Service 2019	25	35	25	25	110	34	0	34.375
3854					120	Civil Service 2019	6	21	18	46	91	53	0	28.438
3859					120	Civil Service 2019	26	32	9	19	86	58	0	26.875
3860					120	Civil Service 2019	40	30	39	16	125	21	0	39.062
3861					120	Civil Service 2019	20	36	32	23	111	33	0	34.688
3862					120	Civil Service 2019	10	13	14	7	44	92	0	13.75
3866					120	Civil Service 2019	5	10	20	35	70	73	0	21.875
3872					120	Civil Service 2019	16	17	15	26	74	69	0	23.125
3873					120	Civil Service 2019	31	44	18	10	103	41	0	32.188
3874					120	Civil Service 2019	35	50	21	38	144	13	0	45
3877					120	Civil Service 2019	25	55	20	30	130	19	0	40.625
3883					120	Civil Service 2019	10	46	16	25	97	47	0	30.312
3884					120	Civil Service 2019	18	29	12	8	67	76	0	20.938
3885					120	Civil Service 2019	31	67	29	38	165	5	0	51.562
3886					120	Civil Service 2019	18	20	2	17	57	83	0	17.812
3887					120	Civil Service 2019	11	18	11	4	44	92	0	13.75
3888					120	Civil Service 2019	31	19	41	16	107	37	0	33.438
3889					120	Civil Service 2019	29	23	11	10	73	70	0	22.812
3890					120	Civil Service 2019	21	25	26	13	85	59	0	26.562
3891					120	Civil Service 2019	-10	25	-5	15	25	103	0	7.812
3892					120	Civil Service 2019	25	32	25	15	97	47	0	30.312
3893					120	Civil Service 2019	27	30	19	13	89	55	0	27.812
3897					120	Civil Service 2019	16	23	8	21	68	75	0	21.25
3898					120	Civil Service 2019	11	30	14	43	98	46	0	30.625
3902					120	Civil Service 2019	17	17	2	10	46	90	0	14.375
3903					120	Civil Service 2019	25	36	23	31	115	29	0	35.938
3904					120	Civil Service 2019	15	10	3	22	50	88	0	15.625
3905					120	Civil Service 2019	32	43	14	23	112	32	0	35
3907					120	Civil Service 2019	13	19	30	12	74	69	0	23.125
3908					120	Civil Service 2019	10	45	30	35	120	25	0	37.5
3911					120	Civil Service 2019	8	28	8	17	61	80	0	19.062
3912					120	Civil Service 2019	8	37	13	31	89	55	0	27.812
3914					120	Civil Service 2019	14	26	14	12	66	77	0	20.625
3915					120	Civil Service 2019	15	24	8	16	63	79	0	19.688
3916					120	Civil Service 2019	21	40	32	30	123	23	0	38.438
3917					120	Civil Service 2019	1	11	12	6	30	101	0	9.375
3919					120	Civil Service 2019	5	30	20	35	90	54	0	28.125
3921					120	Civil Service 2019	20	10	10	5	45	91	0	14.062
3923					120	Civil Service 2019	24	12	7	2	45	91	0	14.062
