CANDIDATE ID,CANDIDATE NAME,FATHER,GROUP,OTHER,Test ID,Test,sub-verbalAbility,subcCurrentAffairs,sub-GeneralScience,sub-NumericalAbility,Total,Test Rank,Group Rank,Percentage
4092,,,,,122,civil grooming 2019,14,13,9,8,44,13,0,44
4093,,,,,122,civil grooming 2019,15,16,10,15,56,5,0,56
4094,,,,,122,civil grooming 2019,13,14,6,13,46,11,0,46
4095,,,,,122,civil grooming 2019,10,12,6,8,36,19,0,36
4096,,,,,122,civil grooming 2019,14,18,6,13,51,9,0,51
4104,,,,,122,civil grooming 2019,13,14,7,11,45,12,0,45
4105,,,,,122,civil grooming 2019,13,19,8,14,54,6,0,54
4106,,,,,122,civil grooming 2019,19,21,9,10,59,3,0,59
4107,,,,,122,civil grooming 2019,19,15,9,14,57,4,0,57
4109,,,,,122,civil grooming 2019,6,14,6,12,38,17,0,38
4110,,,,,122,civil grooming 2019,9,10,6,6,31,21,0,31
4111,,,,,122,civil grooming 2019,8,11,5,9,33,20,0,33
4112,,,,,122,civil grooming 2019,19,17,11,15,62,1,0,62
4113,,,,,122,civil grooming 2019,13,8,7,12,40,15,0,40
4115,,,,,122,civil grooming 2019,14,16,10,12,52,8,0,52
4116,,,,,122,civil grooming 2019,12,12,6,8,38,17,0,38
4117,,,,,122,civil grooming 2019,15,14,6,16,51,9,0,51
4119,,,,,122,civil grooming 2019,11,11,7,10,39,16,0,39
4120,,,,,122,civil grooming 2019,12,14,7,11,44,13,0,44
4121,,,,,122,civil grooming 2019,14,18,11,17,60,2,0,60
4129,,,,,122,civil grooming 2019,13,14,7,11,45,12,0,45
4130,,,,,122,civil grooming 2019,11,20,8,13,52,8,0,52
4131,,,,,122,civil grooming 2019,15,10,9,15,49,10,0,49
4132,,,,,122,civil grooming 2019,11,12,4,9,36,19,0,36
4133,,,,,122,civil grooming 2019,13,10,8,12,43,14,0,43
4134,,,,,122,civil grooming 2019,8,12,5,13,38,17,0,38
