CANDIDATE ID	CANDIDATE NAME	FATHER	GROUP	OTHER	Test ID	Test	Current Affairs	General Science	Total	Test Rank	Group Rank	Percentage
4040					123	GK2019	38	33	71	61	0	22.188
4147					123	GK2019	35	20	55	77	0	17.188
4152					123	GK2019	25	50	75	57	0	23.438
4157					123	GK2019	5	50	55	77	0	17.188
4158					123	GK2019	32	31	63	69	0	19.688
4159					123	GK2019	55	35	90	42	0	28.125
4163					123	GK2019	15	35	50	82	0	15.625
4164					123	GK2019	33	19	52	80	0	16.25
4165					123	GK2019	32	59	91	41	0	28.438
4166					123	GK2019	16	46	62	70	0	19.375
4167					123	GK2019	15	15	30	102	0	9.375
4169					123	GK2019	20	30	50	82	0	15.625
4171					123	GK2019	0	45	45	87	0	14.062
4172					123	GK2019	46	15	61	71	0	19.062
4173					123	GK2019	15	65	80	52	0	25
4174					123	GK2019	-1	44	43	89	0	13.438
4175					123	GK2019	18	-2	16	114	0	5
4177					123	GK2019	40	59	99	34	0	30.938
4178					123	GK2019	17	18	35	97	0	10.938
4179					123	GK2019	50	55	105	29	0	32.812
4180					123	GK2019	13	22	35	97	0	10.938
4182					123	GK2019	30	28	58	74	0	18.125
4184					123	GK2019	3	42	45	87	0	14.062
4185					123	GK2019	40	65	105	29	0	32.812
4186					123	GK2019	-10	25	15	115	0	4.688
4187					123	GK2019	27	14	41	91	0	12.812
4188					123	GK2019	24	38	62	70	0	19.375
4189					123	GK2019	5	15	20	110	0	6.25
4190					123	GK2019	35	20	55	77	0	17.188
4192					123	GK2019	16	20	36	96	0	11.25
4196					123	GK2019	35	45	80	52	0	25
4197					123	GK2019	45	45	90	42	0	28.125
4198					123	GK2019	45	21	66	66	0	20.625
4199					123	GK2019	30	50	80	52	0	25
4200					123	GK2019	31	1	32	100	0	10
4201					123	GK2019	26	10	36	96	0	11.25
4202					123	GK2019	54	64	118	21	0	36.875
4204					123	GK2019	55	50	105	29	0	32.812
4205					123	GK2019	33	41	74	58	0	23.125
4207					123	GK2019	56	67	123	18	0	38.438
4209					123	GK2019	20	30	50	82	0	15.625
4210					123	GK2019	92	97	189	2	0	59.062
4213					123	GK2019	81	102	183	4	0	57.188
4214					123	GK2019	85	100	185	3	0	57.812
4216					123	GK2019	49	48	97	36	0	30.312
4217					123	GK2019	40	43	83	49	0	25.938
4218					123	GK2019	45	55	100	33	0	31.25
4220					123	GK2019	10	50	60	72	0	18.75
4221					123	GK2019	40	35	75	57	0	23.438
4223					123	GK2019	15	25	40	92	0	12.5
4224					123	GK2019	20	20	40	92	0	12.5
4225					123	GK2019	40	35	75	57	0	23.438
4226					123	GK2019	10	45	55	77	0	17.188
4227					123	GK2019	11	20	31	101	0	9.688
4228					123	GK2019	5	15	20	110	0	6.25
4230					123	GK2019	16	50	66	66	0	20.625
4231					123	GK2019	10	20	30	102	0	9.375
4232					123	GK2019	19	56	75	57	0	23.438
4233					123	GK2019	20	30	50	82	0	15.625
4234					123	GK2019	20	30	50	82	0	15.625
4235					123	GK2019	26	25	51	81	0	15.938
4236					123	GK2019	25	30	55	77	0	17.188
4237					123	GK2019	41	32	73	59	0	22.812
4238					123	GK2019	1	45	46	86	0	14.375
4239					123	GK2019	5	35	40	92	0	12.5
4240					123	GK2019	-5	30	25	107	0	7.812
4241					123	GK2019	13	60	73	59	0	22.812
4242					123	GK2019	44	43	87	45	0	27.188
4243					123	GK2019	29	42	71	61	0	22.188
4244					123	GK2019	-5	35	30	102	0	9.375
4245					123	GK2019	50	46	96	37	0	30
4246					123	GK2019	25	30	55	77	0	17.188
4247					123	GK2019	32	60	92	40	0	28.75
4248					123	GK2019	55	61	116	22	0	36.25
4250					123	GK2019	46	30	76	56	0	23.75
4251					123	GK2019	25	0	25	107	0	7.812
4252					123	GK2019	56	25	81	51	0	25.312
4253					123	GK2019	15	-5	10	117	0	3.125
4254					123	GK2019	15	45	60	72	0	18.75
4255					123	GK2019	19	43	62	70	0	19.375
4256					123	GK2019	45	45	90	42	0	28.125
4257					123	GK2019	20	30	50	82	0	15.625
4258					123	GK2019	30	30	60	72	0	18.75
4259					123	GK2019	50	40	90	42	0	28.125
4262					123	GK2019	15	36	51	81	0	15.938
4264					123	GK2019	35	15	50	82	0	15.625
4265					123	GK2019	26	0	26	106	0	8.125
4267					123	GK2019	19	43	62	70	0	19.375
4268					123	GK2019	22	26	48	84	0	15
4269					123	GK2019	25	15	40	92	0	12.5
4271					123	GK2019	-4	22	18	112	0	5.625
4272					123	GK2019	6	10	16	114	0	5
4273					123	GK2019	40	40	80	52	0	25
4274					123	GK2019	25	30	55	77	0	17.188
4275					123	GK2019	50	-2	48	84	0	15
4276					123	GK2019	25	15	40	92	0	12.5
4277					123	GK2019	56	46	102	31	0	31.875
4278					123	GK2019	25	50	75	57	0	23.438
4279					123	GK2019	50	50	100	33	0	31.25
4280					123	GK2019	50	55	105	29	0	32.812
4281					123	GK2019	40	50	90	42	0	28.125
4283					123	GK2019	16	14	30	102	0	9.375
4284					123	GK2019	7	30	37	95	0	11.562
4285					123	GK2019	16	18	34	98	0	10.625
4286					123	GK2019	5	25	30	102	0	9.375
4287					123	GK2019	30	24	54	78	0	16.875
4288					123	GK2019	28	36	64	68	0	20
4289					123	GK2019	5	25	30	102	0	9.375
4290					123	GK2019	15	50	65	67	0	20.312
4295					123	GK2019	33	43	76	56	0	23.75
4299					123	GK2019	40	35	75	57	0	23.438
4300					123	GK2019	14	40	54	78	0	16.875
4306					123	GK2019	15	25	40	92	0	12.5
4308					123	GK2019	5	12	17	113	0	5.312
4309					123	GK2019	20	10	30	102	0	9.375
4311					123	GK2019	12	11	23	108	0	7.188
4313					123	GK2019	25	16	41	91	0	12.812
4314					123	GK2019	22	50	72	60	0	22.5
4315					123	GK2019	60	70	130	15	0	40.625
4317					123	GK2019	22	42	64	68	0	20
4318					123	GK2019	10	-5	5	119	0	1.562
4319					123	GK2019	30	45	75	57	0	23.438
4320					123	GK2019	42	31	73	59	0	22.812
4321					123	GK2019	0	0	0	121	0	0
4322					123	GK2019	9	31	40	92	0	12.5
4323					123	GK2019	36	32	68	64	0	21.25
4324					123	GK2019	25	30	55	77	0	17.188
4326					123	GK2019	58	53	111	25	0	34.688
4328					123	GK2019	50	60	110	26	0	34.375
4330					123	GK2019	55	40	95	38	0	29.688
4331					123	GK2019	35	65	100	33	0	31.25
4332					123	GK2019	35	75	110	26	0	34.375
4333					123	GK2019	45	35	80	52	0	25
4334					123	GK2019	10	30	40	92	0	12.5
4335					123	GK2019	-4	10	6	118	0	1.875
4336					123	GK2019	25	30	55	77	0	17.188
4337					123	GK2019	15	35	50	82	0	15.625
4340					123	GK2019	26	5	31	101	0	9.688
4341					123	GK2019	24	33	57	75	0	17.812
4342					123	GK2019	26	10	36	96	0	11.25
4343					123	GK2019	-5	5	0	121	0	0
4344					123	GK2019	10	40	50	82	0	15.625
4345					123	GK2019	27	42	69	63	0	21.562
4347					123	GK2019	27	15	42	90	0	13.125
4348					123	GK2019	5	45	50	82	0	15.625
4349					123	GK2019	25	30	55	77	0	17.188
4350					123	GK2019	15	40	55	77	0	17.188
4351					123	GK2019	35	25	60	72	0	18.75
4352					123	GK2019	53	59	112	24	0	35
4353					123	GK2019	38	15	53	79	0	16.562
4354					123	GK2019	27	38	65	67	0	20.312
4355					123	GK2019	19	29	48	84	0	15
4356					123	GK2019	10	10	20	110	0	6.25
4359					123	GK2019	17	36	53	79	0	16.562
4360					123	GK2019	35	52	87	45	0	27.188
4362					123	GK2019	25	48	73	59	0	22.812
4363					123	GK2019	25	15	40	92	0	12.5
4364					123	GK2019	33	46	79	53	0	24.688
4365					123	GK2019	-3	30	27	105	0	8.438
4366					123	GK2019	15	45	60	72	0	18.75
4368					123	GK2019	15	15	30	102	0	9.375
4370					123	GK2019	0	0	0	121	0	0
4371					123	GK2019	30	15	45	87	0	14.062
4372					123	GK2019	16	10	26	106	0	8.125
