candidate id,candidate name,father,group,other,test id,test,current affairs,general science,total,test rank,group rank,percentage
1804152,,,,,124,GK Final 2019,40,75,115,44,0,35.938
1804159,,,,,124,GK Final 2019,31,77,108,47,0,33.75
1804165,,,,,124,GK Final 2019,55,50,105,50,0,32.812
1804173,,,,,124,GK Final 2019,26,48,74,75,0,23.125
1804177,,,,,124,GK Final 2019,25,50,75,74,0,23.438
1804185,,,,,124,GK Final 2019,35,40,75,74,0,23.438
1804196,,,,,124,GK Final 2019,96,105,201,4,0,62.812
1804197,,,,,124,GK Final 2019,-5,30,25,91,0,7.812
1804199,,,,,124,GK Final 2019,55,75,130,36,0,40.625
1804202,,,,,124,GK Final 2019,58,58,116,43,0,36.25
1804204,,,,,124,GK Final 2019,39,57,96,56,0,30
1804207,,,,,124,GK Final 2019,4,12,16,92,0,5
1804210,,,,,124,GK Final 2019,40,40,80,70,0,25
1804213,,,,,124,GK Final 2019,42,61,103,52,0,32.188
1804214,,,,,124,GK Final 2019,-4,20,16,92,0,5
1804216,,,,,124,GK Final 2019,20,40,60,80,0,18.75
1804217,,,,,124,GK Final 2019,0,40,40,87,0,12.5
1804218,,,,,124,GK Final 2019,43,48,91,60,0,28.438
1804242,,,,,124,GK Final 2019,34,55,89,62,0,27.812
1804245,,,,,124,GK Final 2019,55,80,135,34,0,42.188
1804247,,,,,124,GK Final 2019,45,71,116,43,0,36.25
1804248,,,,,124,GK Final 2019,25,55,80,70,0,25
1804250,,,,,124,GK Final 2019,11,15,26,90,0,8.125
1804252,,,,,124,GK Final 2019,74,69,143,30,0,44.688
1804256,,,,,124,GK Final 2019,70,65,135,34,0,42.188
1804259,,,,,124,GK Final 2019,10,0,10,93,0,3.125
1804273,,,,,124,GK Final 2019,29,48,77,73,0,24.062
1804277,,,,,124,GK Final 2019,49,79,128,37,0,40
1804279,,,,,124,GK Final 2019,55,50,105,50,0,32.812
1804280,,,,,124,GK Final 2019,35,55,90,61,0,28.125
1804295,,,,,124,GK Final 2019,38,72,110,46,0,34.375
1804315,,,,,124,GK Final 2019,77,67,144,29,0,45
1804328,,,,,124,GK Final 2019,0,10,10,93,0,3.125
1804330,,,,,124,GK Final 2019,16,66,82,68,0,25.625
1804331,,,,,124,GK Final 2019,95,97,192,7,0,60
1804333,,,,,124,GK Final 2019,40,75,115,44,0,35.938
1804352,,,,,124,GK Final 2019,25,24,49,85,0,15.312
1804360,,,,,124,GK Final 2019,73,95,168,10,0,52.5
1804364,,,,,124,GK Final 2019,61,80,141,31,0,44.062
1804383,,,,,124,GK Final 2019,40,70,110,46,0,34.375
1804391,,,,,124,GK Final 2019,72,80,152,23,0,47.5
1804394,,,,,124,GK Final 2019,52,67,119,42,0,37.188
1804403,,,,,124,GK Final 2019,66,36,102,53,0,31.875
1804409,,,,,124,GK Final 2019,68,63,131,35,0,40.938
1804414,,,,,124,GK Final 2019,21,74,95,57,0,29.688
1804415,,,,,124,GK Final 2019,31,57,88,63,0,27.5
1804417,,,,,124,GK Final 2019,54,90,144,29,0,45
1804421,,,,,124,GK Final 2019,40,40,80,70,0,25
1804426,,,,,124,GK Final 2019,25,60,85,65,0,26.562
1804430,,,,,124,GK Final 2019,35,45,80,70,0,25
1804436,,,,,124,GK Final 2019,62,64,126,39,0,39.375
1804457,,,,,124,GK Final 2019,41,66,107,48,0,33.438
1804463,,,,,124,GK Final 2019,87,75,162,15,0,50.625
1804498,,,,,124,GK Final 2019,31,68,99,55,0,30.938
1804499,,,,,124,GK Final 2019,60,70,130,36,0,40.625
1804504,,,,,124,GK Final 2019,24,21,45,86,0,14.062
1804508,,,,,124,GK Final 2019,30,51,81,69,0,25.312
1804519,,,,,124,GK Final 2019,55,68,123,40,0,38.438
1804520,,,,,124,GK Final 2019,5,30,35,88,0,10.938
1804524,,,,,124,GK Final 2019,83,73,156,19,0,48.75
1804559,,,,,124,GK Final 2019,55,75,130,36,0,40.625
1804561,,,,,124,GK Final 2019,25,55,80,70,0,25
1804569,,,,,124,GK Final 2019,55,57,112,45,0,35
1804570,,,,,124,GK Final 2019,15,65,80,70,0,25
1804571,,,,,124,GK Final 2019,15,55,70,76,0,21.875
1804572,,,,,124,GK Final 2019,20,40,60,80,0,18.75
1804574,,,,,124,GK Final 2019,45,20,65,77,0,20.312
1804576,,,,,124,GK Final 2019,5,55,60,80,0,18.75
1804586,,,,,124,GK Final 2019,60,90,150,25,0,46.875
