CANDIDATE ID,CANDIDATE NAME,FATHER,GROUP,OTHER,Test ID,Test,sub_Verbal Ability,sub_Current Affairs,Sub_General Science,Sub_Numerical Ability,Sub_Social Science,Total,Test Rank,Group Rank,Percentage
1345,,,,,125,PBU 2020,80,80,40,80,40,320,1,0,100
6216,,,,,125,PBU 2020,25,5,0,0,5,35,133,0,10.938
5147,,,,,125,PBU 2020,45,25,5,-5,10,80,94,0,25
5263,,,,,125,PBU 2020,0,15,0,-4,0,11,151,0,3.438
5264,,,,,125,PBU 2020,62,51,15,24,13,165,21,0,51.562
5265,,,,,125,PBU 2020,23,22,1,9,6,61,112,0,19.062
5266,,,,,125,PBU 2020,45,16,15,25,10,111,66,0,34.688
5267,,,,,125,PBU 2020,40,15,5,10,0,70,104,0,21.875
5268,,,,,125,PBU 2020,38,26,12,16,16,108,69,0,33.75
5269,,,,,125,PBU 2020,45,40,15,20,5,125,53,0,39.062
5270,,,,,125,PBU 2020,40,10,20,-5,30,95,81,0,29.688
5271,,,,,125,PBU 2020,10,5,5,0,20,40,130,0,12.5
5272,,,,,125,PBU 2020,50,18,0,25,10,103,74,0,32.188
5273,,,,,125,PBU 2020,25,35,15,0,10,85,89,0,26.562
5274,,,,,125,PBU 2020,25,15,10,5,15,70,104,0,21.875
5275,,,,,125,PBU 2020,36,10,5,20,5,76,98,0,23.75
5276,,,,,125,PBU 2020,16,4,1,-4,16,33,134,0,10.312
5278,,,,,125,PBU 2020,20,25,5,20,5,75,99,0,23.438
5280,,,,,125,PBU 2020,20,40,20,-5,10,85,89,0,26.562
5281,,,,,125,PBU 2020,40,35,20,-5,20,110,67,0,34.375
5282,,,,,125,PBU 2020,35,20,5,13,-1,72,102,0,22.5
5283,,,,,125,PBU 2020,26,17,11,25,17,96,80,0,30
5284,,,,,125,PBU 2020,40,15,10,5,20,90,86,0,28.125
5285,,,,,125,PBU 2020,5,5,0,0,15,25,141,0,7.812
5286,,,,,125,PBU 2020,60,50,26,16,27,179,10,0,55.938
5287,,,,,125,PBU 2020,20,12,6,10,16,64,110,0,20
5288,,,,,125,PBU 2020,45,30,20,20,15,130,48,0,40.625
5289,,,,,125,PBU 2020,39,43,22,17,27,148,32,0,46.25
5291,,,,,125,PBU 2020,43,38,19,16,28,144,36,0,45
5292,,,,,125,PBU 2020,65,52,27,11,15,170,17,0,53.125
5293,,,,,125,PBU 2020,41,15,6,11,9,82,92,0,25.625
5294,,,,,125,PBU 2020,1,21,4,1,11,38,131,0,11.875
5297,,,,,125,PBU 2020,30,35,25,20,27,137,41,0,42.812
5299,,,,,125,PBU 2020,50,40,21,20,32,163,23,0,50.938
5300,,,,,125,PBU 2020,55,17,5,-4,10,83,91,0,25.938
5301,,,,,125,PBU 2020,60,75,30,20,6,191,6,0,59.688
5302,,,,,125,PBU 2020,50,45,25,25,10,155,28,0,48.438
5303,,,,,125,PBU 2020,40,40,10,25,0,115,62,0,35.938
5304,,,,,125,PBU 2020,25,-5,0,0,-5,15,149,0,4.688
5305,,,,,125,PBU 2020,46,46,20,41,20,173,14,0,54.062
5306,,,,,125,PBU 2020,45,15,5,15,-10,70,104,0,21.875
5307,,,,,125,PBU 2020,51,31,30,26,21,159,26,0,49.688
5308,,,,,125,PBU 2020,25,25,10,10,15,85,89,0,26.562
5310,,,,,125,PBU 2020,35,45,5,35,15,135,43,0,42.188
5311,,,,,125,PBU 2020,40,45,5,5,20,115,62,0,35.938
5312,,,,,125,PBU 2020,45,20,20,15,15,115,62,0,35.938
5313,,,,,125,PBU 2020,55,30,20,0,15,120,58,0,37.5
5315,,,,,125,PBU 2020,40,20,10,10,20,100,77,0,31.25
5316,,,,,125,PBU 2020,50,20,0,15,30,115,62,0,35.938
5317,,,,,125,PBU 2020,41,10,15,16,15,97,79,0,30.312
5318,,,,,125,PBU 2020,55,20,30,5,20,130,48,0,40.625
5319,,,,,125,PBU 2020,50,15,25,6,10,106,71,0,33.125
5320,,,,,125,PBU 2020,40,15,0,5,10,70,104,0,21.875
5321,,,,,125,PBU 2020,25,25,10,25,15,100,77,0,31.25
5322,,,,,125,PBU 2020,45,10,20,5,20,100,77,0,31.25
5323,,,,,125,PBU 2020,16,20,5,5,11,57,116,0,17.812
5325,,,,,125,PBU 2020,20,-5,10,-10,0,15,149,0,4.688
5326,,,,,125,PBU 2020,45,15,20,5,20,105,72,0,32.812
5327,,,,,125,PBU 2020,10,21,10,-5,10,46,126,0,14.375
5329,,,,,125,PBU 2020,45,32,16,35,16,144,36,0,45
5330,,,,,125,PBU 2020,20,11,5,5,5,46,126,0,14.375
5331,,,,,125,PBU 2020,60,35,20,30,20,165,21,0,51.562
5332,,,,,125,PBU 2020,42,45,16,-3,26,126,52,0,39.375
5333,,,,,125,PBU 2020,45,30,10,27,15,127,51,0,39.688
