candidate id,candidate name,father,group,other,test id,test,sub_verbal ability,sub_current affairs,sub_general science,sub_numerical ability,sub_social science,total,test rank,group rank,percentage
1806216,,,,,125,PBU 2020,25,5,0,0,5,35,134,0,10.938
1805147,,,,,125,PBU 2020,45,25,5,-5,10,80,95,0,25
1805263,,,,,125,PBU 2020,0,15,0,-4,0,11,153,0,3.438
1805264,,,,,125,PBU 2020,62,51,15,24,13,165,21,0,51.562
1805265,,,,,125,PBU 2020,23,22,1,9,6,61,113,0,19.062
1805266,,,,,125,PBU 2020,45,16,15,25,10,111,66,0,34.688
1805267,,,,,125,PBU 2020,40,15,5,10,0,70,105,0,21.875
1805268,,,,,125,PBU 2020,38,26,12,16,16,108,69,0,33.75
1805269,,,,,125,PBU 2020,45,40,15,20,5,125,53,0,39.062
1805270,,,,,125,PBU 2020,40,10,20,-5,30,95,81,0,29.688
1805271,,,,,125,PBU 2020,10,5,5,0,20,40,131,0,12.5
1805272,,,,,125,PBU 2020,50,18,0,25,10,103,74,0,32.188
1805273,,,,,125,PBU 2020,25,35,15,0,10,85,90,0,26.562
1805274,,,,,125,PBU 2020,25,15,10,5,15,70,105,0,21.875
1805275,,,,,125,PBU 2020,36,10,5,20,5,76,99,0,23.75
1805276,,,,,125,PBU 2020,16,4,1,-4,16,33,136,0,10.312
1805278,,,,,125,PBU 2020,20,25,5,20,5,75,100,0,23.438
1805280,,,,,125,PBU 2020,20,40,20,-5,10,85,90,0,26.562
1805281,,,,,125,PBU 2020,40,35,20,-5,20,110,67,0,34.375
1805282,,,,,125,PBU 2020,35,20,5,13,-1,72,103,0,22.5
1805283,,,,,125,PBU 2020,26,17,11,25,17,96,80,0,30
1805284,,,,,125,PBU 2020,40,15,10,5,20,90,86,0,28.125
1805285,,,,,125,PBU 2020,5,5,0,0,15,25,143,0,7.812
1805286,,,,,125,PBU 2020,60,50,26,16,27,179,10,0,55.938
1805287,,,,,125,PBU 2020,20,12,6,10,16,64,111,0,20
1805288,,,,,125,PBU 2020,45,30,20,20,15,130,48,0,40.625
1805289,,,,,125,PBU 2020,39,43,22,17,27,148,32,0,46.25
1805291,,,,,125,PBU 2020,43,38,19,16,28,144,36,0,45
1805292,,,,,125,PBU 2020,65,52,27,11,15,170,17,0,53.125
1805293,,,,,125,PBU 2020,41,15,6,11,9,82,93,0,25.625
1805294,,,,,125,PBU 2020,1,21,4,1,11,38,132,0,11.875
1805297,,,,,125,PBU 2020,30,35,25,20,27,137,41,0,42.812
1805298,,,,,125,PBU 2020,20,27,1,14,8,70,105,0,21.875
1805299,,,,,125,PBU 2020,50,40,21,20,32,163,23,0,50.938
1805300,,,,,125,PBU 2020,55,17,5,-4,10,83,92,0,25.938
1805301,,,,,125,PBU 2020,60,75,30,20,6,191,5,0,59.688
1805302,,,,,125,PBU 2020,50,45,25,25,10,155,28,0,48.438
1805303,,,,,125,PBU 2020,40,40,10,25,0,115,62,0,35.938
1805304,,,,,125,PBU 2020,25,-5,0,0,-5,15,151,0,4.688
1805305,,,,,125,PBU 2020,46,46,20,41,20,173,14,0,54.062
1805306,,,,,125,PBU 2020,45,15,5,15,-10,70,105,0,21.875
1805307,,,,,125,PBU 2020,51,31,30,26,21,159,26,0,49.688
1805308,,,,,125,PBU 2020,25,25,10,10,15,85,90,0,26.562
1805310,,,,,125,PBU 2020,35,45,5,35,15,135,43,0,42.188
1805311,,,,,125,PBU 2020,40,45,5,5,20,115,62,0,35.938
1805312,,,,,125,PBU 2020,45,20,20,15,15,115,62,0,35.938
1805313,,,,,125,PBU 2020,55,30,20,0,15,120,58,0,37.5
1805315,,,,,125,PBU 2020,40,20,10,10,20,100,77,0,31.25
1805316,,,,,125,PBU 2020,50,20,0,15,30,115,62,0,35.938
1805317,,,,,125,PBU 2020,41,10,15,16,15,97,79,0,30.312
1805318,,,,,125,PBU 2020,55,20,30,5,20,130,48,0,40.625
1805319,,,,,125,PBU 2020,50,15,25,6,10,106,71,0,33.125
1805320,,,,,125,PBU 2020,40,15,0,5,10,70,105,0,21.875
1805321,,,,,125,PBU 2020,25,25,10,25,15,100,77,0,31.25
1805322,,,,,125,PBU 2020,45,10,20,5,20,100,77,0,31.25
1805323,,,,,125,PBU 2020,16,20,5,5,11,57,117,0,17.812
1805325,,,,,125,PBU 2020,20,-5,10,-10,0,15,151,0,4.688
1805326,,,,,125,PBU 2020,45,15,20,5,20,105,72,0,32.812
1805327,,,,,125,PBU 2020,10,21,10,-5,10,46,127,0,14.375
1805329,,,,,125,PBU 2020,45,32,16,35,16,144,36,0,45
1805330,,,,,125,PBU 2020,20,11,5,5,5,46,127,0,14.375
1805331,,,,,125,PBU 2020,60,35,20,30,20,165,21,0,51.562
1805332,,,,,125,PBU 2020,42,45,16,-3,26,126,52,0,39.375
1805333,,,,,125,PBU 2020,45,30,10,27,15,127,51,0,39.688
1805334,,,,,125,PBU 2020,5,20,10,10,10,55,119,0,17.188
1805335,,,,,125,PBU 2020,40,20,5,10,10,85,90,0,26.562
1805336,,,,,125,PBU 2020,40,10,12,22,14,98,78,0,30.625
1805337,,,,,125,PBU 2020,40,20,10,26,10,106,71,0,33.125
1805338,,,,,125,PBU 2020,36,30,5,10,10,91,85,0,28.438
1805339,,,,,125,PBU 2020,19,23,11,11,6,70,105,0,21.875
1805340,,,,,125,PBU 2020,25,5,10,-9,25,56,118,0,17.5
1805344,,,,,125,PBU 2020,30,35,15,15,20,115,62,0,35.938
1805345,,,,,125,PBU 2020,25,10,0,15,15,65,110,0,20.312
1805346,,,,,125,PBU 2020,45,35,15,20,15,130,48,0,40.625
1805347,,,,,125,PBU 2020,40,30,20,20,5,115,62,0,35.938
1805348,,,,,125,PBU 2020,15,-5,0,20,5,35,134,0,10.938
1805350,,,,,125,PBU 2020,25,20,15,10,10,80,95,0,25
1805352,,,,,125,PBU 2020,45,40,15,5,30,135,43,0,42.188
1805353,,,,,125,PBU 2020,20,10,16,-5,0,41,130,0,12.812
1805354,,,,,125,PBU 2020,45,20,15,5,20,105,72,0,32.812
1805355,,,,,125,PBU 2020,55,10,0,25,15,105,72,0,32.812
1805356,,,,,125,PBU 2020,45,15,10,15,5,90,86,0,28.125
1805357,,,,,125,PBU 2020,45,20,20,20,10,115,62,0,35.938
1805358,,,,,125,PBU 2020,40,36,20,20,15,131,47,0,40.938
1805359,,,,,125,PBU 2020,50,20,17,-1,15,101,76,0,31.562
1805360,,,,,125,PBU 2020,10,5,10,-10,10,25,143,0,7.812
1805361,,,,,125,PBU 2020,55,46,10,-3,10,118,60,0,36.875
1805362,,,,,125,PBU 2020,50,58,12,31,14,165,21,0,51.562
1805363,,,,,125,PBU 2020,33,27,25,12,31,128,50,0,40
1805365,,,,,125,PBU 2020,45,56,5,42,15,163,23,0,50.938
1805366,,,,,125,PBU 2020,45,20,0,5,10,80,95,0,25
1805368,,,,,125,PBU 2020,35,50,5,-15,5,80,95,0,25
1805369,,,,,125,PBU 2020,50,30,-10,5,5,80,95,0,25
1805370,,,,,125,PBU 2020,55,20,10,10,5,100,77,0,31.25
1805371,,,,,125,PBU 2020,45,25,0,10,0,80,95,0,25
1805372,,,,,125,PBU 2020,20,20,10,15,5,70,105,0,21.875
1805373,,,,,125,PBU 2020,40,25,5,0,15,85,90,0,26.562
