candidate id,candidate name,father,group,other,test id,test,sub_verbalability,sub_currentaffairs,sub_generalscience,sub_numericalability,sub_socialscience,total,test rank,group rank,percentage
1801418,,,,,118,PBU Final Exam,5,55,51,17,31,159,16,0,49.688
1801562,,,,,118,PBU Final Exam,30,20,10,10,5,75,85,0,23.438
1801822,,,,,118,PBU Final Exam,40,30,20,15,10,115,48,0,35.938
1801823,,,,,118,PBU Final Exam,25,20,25,15,-10,75,85,0,23.438
1801824,,,,,118,PBU Final Exam,10,-10,-5,5,0,0,152,0,0
1801825,,,,,118,PBU Final Exam,10,20,50,15,10,105,57,0,32.812
1801826,,,,,118,PBU Final Exam,35,52,47,16,17,167,12,0,52.188
1801827,,,,,118,PBU Final Exam,35,15,10,5,20,85,76,0,26.562
1801828,,,,,118,PBU Final Exam,10,10,25,10,10,65,95,0,20.312
1801829,,,,,118,PBU Final Exam,45,55,45,30,30,205,5,0,64.062
1801830,,,,,118,PBU Final Exam,41,70,60,30,25,226,1,0,70.625
1801832,,,,,118,PBU Final Exam,40,55,26,32,15,168,11,0,52.5
1801833,,,,,118,PBU Final Exam,31,55,40,11,26,163,14,0,50.938
1801834,,,,,118,PBU Final Exam,35,70,55,25,25,210,4,0,65.625
1801836,,,,,118,PBU Final Exam,25,15,-5,0,10,45,113,0,14.062
1801839,,,,,118,PBU Final Exam,40,10,30,15,15,110,53,0,34.375
1801840,,,,,118,PBU Final Exam,25,10,10,15,0,60,100,0,18.75
1801842,,,,,118,PBU Final Exam,46,53,52,15,21,187,7,0,58.438
1801845,,,,,118,PBU Final Exam,30,60,46,42,35,213,3,0,66.562
1801847,,,,,118,PBU Final Exam,10,60,55,45,30,200,6,0,62.5
1801851,,,,,118,PBU Final Exam,26,10,15,1,5,57,103,0,17.812
1801853,,,,,118,PBU Final Exam,35,55,45,30,20,185,8,0,57.812
1801854,,,,,118,PBU Final Exam,40,25,0,15,20,100,62,0,31.25
1801855,,,,,118,PBU Final Exam,40,20,25,5,2,92,69,0,28.75
1801856,,,,,118,PBU Final Exam,15,5,15,20,15,70,90,0,21.875
1801857,,,,,118,PBU Final Exam,25,15,10,0,0,50,110,0,15.625
1801858,,,,,118,PBU Final Exam,40,35,15,5,20,115,48,0,35.938
1801859,,,,,118,PBU Final Exam,30,10,5,10,0,55,105,0,17.188
1801876,,,,,118,PBU Final Exam,10,-10,10,-5,0,5,150,0,1.562
1801860,,,,,118,PBU Final Exam,25,5,20,5,-5,50,110,0,15.625
1801861,,,,,118,PBU Final Exam,20,15,45,-5,0,75,85,0,23.438
1801862,,,,,118,PBU Final Exam,10,-5,5,10,-5,15,142,0,4.688
1801863,,,,,118,PBU Final Exam,15,6,5,0,0,26,132,0,8.125
1801864,,,,,118,PBU Final Exam,20,20,0,10,10,60,100,0,18.75
1801865,,,,,118,PBU Final Exam,35,20,20,20,10,105,57,0,32.812
1801866,,,,,118,PBU Final Exam,30,0,0,5,15,50,110,0,15.625
1801867,,,,,118,PBU Final Exam,25,15,35,5,5,85,76,0,26.562
1801868,,,,,118,PBU Final Exam,10,10,20,30,5,75,85,0,23.438
1801869,,,,,118,PBU Final Exam,30,25,20,20,10,105,57,0,32.812
1801870,,,,,118,PBU Final Exam,40,15,10,30,10,105,57,0,32.812
1801871,,,,,118,PBU Final Exam,30,30,25,20,15,120,44,0,37.5
1801873,,,,,118,PBU Final Exam,40,20,15,10,0,85,76,0,26.562
1801875,,,,,118,PBU Final Exam,40,20,10,25,10,105,57,0,32.812
1801876,,,,,118,PBU Final Exam,10,-10,10,-5,0,5,150,0,1.562
1801878,,,,,118,PBU Final Exam,15,15,20,1,0,51,109,0,15.938
1801879,,,,,118,PBU Final Exam,26,15,10,30,0,81,80,0,25.312
1801880,,,,,118,PBU Final Exam,40,5,35,10,5,95,66,0,29.688
1801882,,,,,118,PBU Final Exam,40,5,30,5,0,80,81,0,25
1801883,,,,,118,PBU Final Exam,40,20,10,25,10,105,57,0,32.812
1801884,,,,,118,PBU Final Exam,0,25,11,-14,15,37,121,0,11.562
1801885,,,,,118,PBU Final Exam,40,15,10,15,0,80,81,0,25
1801886,,,,,118,PBU Final Exam,25,20,10,0,-5,50,110,0,15.625
1801887,,,,,118,PBU Final Exam,31,10,30,11,5,87,74,0,27.188
1801888,,,,,118,PBU Final Exam,35,20,30,15,0,100,62,0,31.25
1801891,,,,,118,PBU Final Exam,30,20,30,15,-5,90,71,0,28.125
1801892,,,,,118,PBU Final Exam,35,15,5,5,10,70,90,0,21.875
1801893,,,,,118,PBU Final Exam,0,5,0,5,-5,5,150,0,1.562
1801894,,,,,118,PBU Final Exam,10,5,15,-9,5,26,132,0,8.125
1801895,,,,,118,PBU Final Exam,35,10,25,0,0,70,90,0,21.875
1801896,,,,,118,PBU Final Exam,40,30,35,25,10,140,27,0,43.75
1801897,,,,,118,PBU Final Exam,35,10,25,0,0,70,90,0,21.875
1801900,,,,,118,PBU Final Exam,5,-5,20,15,-5,30,128,0,9.375
1801902,,,,,118,PBU Final Exam,15,5,5,5,10,40,118,0,12.5
1801903,,,,,118,PBU Final Exam,15,5,5,10,5,40,118,0,12.5
1801904,,,,,118,PBU Final Exam,35,15,10,15,25,100,62,0,31.25
1801905,,,,,118,PBU Final Exam,10,5,21,10,1,47,111,0,14.688
1801906,,,,,118,PBU Final Exam,10,5,15,0,5,35,123,0,10.938
1801907,,,,,118,PBU Final Exam,0,10,15,5,5,35,123,0,10.938
1801909,,,,,118,PBU Final Exam,35,40,30,15,20,140,27,0,43.75
1801910,,,,,118,PBU Final Exam,15,25,10,-5,10,55,105,0,17.188
1801911,,,,,118,PBU Final Exam,20,15,10,5,10,60,100,0,18.75
1801912,,,,,118,PBU Final Exam,35,25,20,10,5,95,66,0,29.688
1801913,,,,,118,PBU Final Exam,10,5,25,15,15,70,90,0,21.875
1801914,,,,,118,PBU Final Exam,5,26,15,5,5,56,104,0,17.5
1801915,,,,,118,PBU Final Exam,5,15,35,-5,10,60,100,0,18.75
1801916,,,,,118,PBU Final Exam,15,21,5,-5,0,36,122,0,11.25
1801917,,,,,118,PBU Final Exam,35,15,20,0,20,90,71,0,28.125
1801918,,,,,118,PBU Final Exam,5,0,10,5,5,25,133,0,7.812
1801919,,,,,118,PBU Final Exam,25,5,50,-10,-5,65,95,0,20.312
1801920,,,,,118,PBU Final Exam,40,10,20,15,10,95,66,0,29.688
1801922,,,,,118,PBU Final Exam,40,6,26,25,6,103,59,0,32.188
1801923,,,,,118,PBU Final Exam,15,7,2,6,5,35,123,0,10.938
1801924,,,,,118,PBU Final Exam,10,15,10,10,10,55,105,0,17.188
1801925,,,,,118,PBU Final Exam,35,30,15,21,1,102,60,0,31.875
1801926,,,,,118,PBU Final Exam,15,15,0,5,5,40,118,0,12.5
1801927,,,,,118,PBU Final Exam,30,10,15,-5,15,65,95,0,20.312
1801928,,,,,118,PBU Final Exam,25,10,5,0,5,45,113,0,14.062
1801930,,,,,118,PBU Final Exam,-4,-10,10,5,8,9,147,0,2.812
1801931,,,,,118,PBU Final Exam,15,25,25,-5,5,65,95,0,20.312
1801932,,,,,118,PBU Final Exam,40,-5,25,15,1,76,84,0,23.75
1801933,,,,,118,PBU Final Exam,-5,-5,-5,0,-5,-20,158,0,0
1801934,,,,,118,PBU Final Exam,10,15,5,10,0,40,118,0,12.5
1801935,,,,,118,PBU Final Exam,25,5,20,6,20,76,84,0,23.75
1801936,,,,,118,PBU Final Exam,30,15,5,15,15,80,81,0,25
1801937,,,,,118,PBU Final Exam,25,2,-5,5,0,27,131,0,8.438
1801938,,,,,118,PBU Final Exam,20,10,0,10,15,55,105,0,17.188
1801939,,,,,118,PBU Final Exam,40,-5,5,0,5,45,113,0,14.062
1801940,,,,,118,PBU Final Exam,35,5,0,10,-5,45,113,0,14.062
1801942,,,,,118,PBU Final Exam,20,6,15,15,10,66,94,0,20.625
1801943,,,,,118,PBU Final Exam,35,15,-5,10,20,75,85,0,23.438
1801944,,,,,118,PBU Final Exam,10,36,5,-5,0,46,112,0,14.375
1801945,,,,,118,PBU Final Exam,35,10,0,10,15,70,90,0,21.875
1801946,,,,,118,PBU Final Exam,35,5,10,15,-5,60,100,0,18.75
1801947,,,,,118,PBU Final Exam,20,10,10,5,5,50,110,0,15.625
1801948,,,,,118,PBU Final Exam,20,25,17,6,17,85,76,0,26.562
1801950,,,,,118,PBU Final Exam,25,20,20,10,10,85,76,0,26.562
1801951,,,,,118,PBU Final Exam,15,15,15,10,20,75,85,0,23.438
1801952,,,,,118,PBU Final Exam,40,25,20,20,5,110,53,0,34.375
1801953,,,,,118,PBU Final Exam,25,5,20,20,5,75,85,0,23.438
1801954,,,,,118,PBU Final Exam,30,10,15,20,20,95,66,0,29.688
1801955,,,,,118,PBU Final Exam,15,20,20,20,5,80,81,0,25
1801956,,,,,118,PBU Final Exam,15,10,35,0,25,85,76,0,26.562
1801957,,,,,118,PBU Final Exam,37,25,35,20,10,127,37,0,39.688
1801958,,,,,118,PBU Final Exam,30,25,20,20,10,105,57,0,32.812
1801959,,,,,118,PBU Final Exam,40,0,35,25,5,105,57,0,32.812
1801960,,,,,118,PBU Final Exam,25,10,15,-15,10,45,113,0,14.062
1801961,,,,,118,PBU Final Exam,5,0,40,10,5,60,100,0,18.75
1801962,,,,,118,PBU Final Exam,5,20,40,5,5,75,85,0,23.438
1801963,,,,,118,PBU Final Exam,10,25,25,30,0,90,71,0,28.125
1801964,,,,,118,PBU Final Exam,15,-5,-5,5,15,25,133,0,7.812
1801965,,,,,118,PBU Final Exam,40,35,25,35,10,145,24,0,45.312
1801966,,,,,118,PBU Final Exam,35,-5,35,0,5,70,90,0,21.875
1801967,,,,,118,PBU Final Exam,20,15,5,10,10,60,100,0,18.75
1801968,,,,,118,PBU Final Exam,30,0,35,30,15,110,53,0,34.375
1801969,,,,,118,PBU Final Exam,15,15,10,10,0,50,110,0,15.625
