candidate id,candidate name,father,group,other,test id,test,general science,social science,total,test rank,group rank,percentage
1803141,,,,,119,Junior Scientist 2019,0,45,45,75,0,14.062
1803143,,,,,119,Junior Scientist 2019,80,10,90,34,0,28.125
1803145,,,,,119,Junior Scientist 2019,15,15,30,89,0,9.375
1803147,,,,,119,Junior Scientist 2019,111,14,125,10,0,39.062
1803149,,,,,119,Junior Scientist 2019,89,46,135,5,0,42.188
1803150,,,,,119,Junior Scientist 2019,104,24,128,8,0,40
1803151,,,,,119,Junior Scientist 2019,55,30,85,39,0,26.562
1803155,,,,,119,Junior Scientist 2019,30,25,55,65,0,17.188
1803157,,,,,119,Junior Scientist 2019,40,10,50,70,0,15.625
1803159,,,,,119,Junior Scientist 2019,96,22,118,14,0,36.875
1803160,,,,,119,Junior Scientist 2019,65,9,74,48,0,23.125
1803161,,,,,119,Junior Scientist 2019,39,2,41,79,0,12.812
1803162,,,,,119,Junior Scientist 2019,27,48,75,47,0,23.438
1803163,,,,,119,Junior Scientist 2019,49,16,65,56,0,20.312
1803164,,,,,119,Junior Scientist 2019,85,55,140,3,0,43.75
1803165,,,,,119,Junior Scientist 2019,-5,-5,-10,108,0,0
1803166,,,,,119,Junior Scientist 2019,76,47,123,11,0,38.438
1803168,,,,,119,Junior Scientist 2019,42,35,77,45,0,24.062
1803169,,,,,119,Junior Scientist 2019,10,-3,7,101,0,2.188
1803170,,,,,119,Junior Scientist 2019,65,25,90,34,0,28.125
1803171,,,,,119,Junior Scientist 2019,61,9,70,52,0,21.875
1803172,,,,,119,Junior Scientist 2019,9,35,44,76,0,13.75
1803173,,,,,119,Junior Scientist 2019,40,39,79,43,0,24.688
1803175,,,,,119,Junior Scientist 2019,66,71,137,4,0,42.812
1803176,,,,,119,Junior Scientist 2019,56,15,71,51,0,22.188
1803177,,,,,119,Junior Scientist 2019,95,25,120,13,0,37.5
1803178,,,,,119,Junior Scientist 2019,14,9,23,93,0,7.188
1803180,,,,,119,Junior Scientist 2019,85,26,111,18,0,34.688
1803185,,,,,119,Junior Scientist 2019,15,70,85,39,0,26.562
1803186,,,,,119,Junior Scientist 2019,35,4,39,81,0,12.188
1803187,,,,,119,Junior Scientist 2019,88,10,98,27,0,30.625
1803188,,,,,119,Junior Scientist 2019,15,-5,10,100,0,3.125
1803189,,,,,119,Junior Scientist 2019,25,5,30,89,0,9.375
1803190,,,,,119,Junior Scientist 2019,115,5,120,13,0,37.5
1803191,,,,,119,Junior Scientist 2019,41,5,46,74,0,14.375
1803193,,,,,119,Junior Scientist 2019,22,29,51,69,0,15.938
1803197,,,,,119,Junior Scientist 2019,50,27,77,45,0,24.062
1803199,,,,,119,Junior Scientist 2019,73,48,121,12,0,37.812
1803200,,,,,119,Junior Scientist 2019,10,47,57,64,0,17.812
1803201,,,,,119,Junior Scientist 2019,5,34,39,81,0,12.188
1803210,,,,,119,Junior Scientist 2019,70,29,99,26,0,30.938
1803213,,,,,119,Junior Scientist 2019,40,25,65,56,0,20.312
1803215,,,,,119,Junior Scientist 2019,41,65,106,21,0,33.125
1803216,,,,,119,Junior Scientist 2019,60,9,69,53,0,21.562
1803218,,,,,119,Junior Scientist 2019,37,30,67,54,0,20.938
1803219,,,,,119,Junior Scientist 2019,25,30,55,65,0,17.188
1803220,,,,,119,Junior Scientist 2019,41,5,46,74,0,14.375
1803222,,,,,119,Junior Scientist 2019,55,15,70,52,0,21.875
1803226,,,,,119,Junior Scientist 2019,25,20,45,75,0,14.062
1803228,,,,,119,Junior Scientist 2019,65,5,70,52,0,21.875
1803229,,,,,119,Junior Scientist 2019,-5,24,19,95,0,5.938
1803231,,,,,119,Junior Scientist 2019,48,5,53,67,0,16.562
1803237,,,,,119,Junior Scientist 2019,8,-3,5,103,0,1.562
1803240,,,,,119,Junior Scientist 2019,-1,7,6,102,0,1.875
1803242,,,,,119,Junior Scientist 2019,-1,2,1,104,0,0.312
1803249,,,,,119,Junior Scientist 2019,45,6,51,69,0,15.938
1803252,,,,,119,Junior Scientist 2019,20,30,50,70,0,15.625
1803254,,,,,119,Junior Scientist 2019,47,30,77,45,0,24.062
1803262,,,,,119,Junior Scientist 2019,55,28,83,40,0,25.938
1803264,,,,,119,Junior Scientist 2019,47,55,102,23,0,31.875
1803265,,,,,119,Junior Scientist 2019,16,50,66,55,0,20.625
