candidate id,candidate name,father,group,other,test id,test,verbal ability,current affairs,general science,social science,total,test rank,group rank,percentage
1803615,,,,,120,Civil Service 2019,35,45,35,25,140,14,0,43.75
1803616,,,,,120,Civil Service 2019,20,25,5,25,75,68,0,23.438
1803617,,,,,120,Civil Service 2019,5,5,10,10,30,101,0,9.375
1803618,,,,,120,Civil Service 2019,12,18,15,21,66,77,0,20.625
1803622,,,,,120,Civil Service 2019,25,35,15,10,85,59,0,26.562
1803623,,,,,120,Civil Service 2019,25,26,23,40,114,30,0,35.625
1803627,,,,,120,Civil Service 2019,24,25,13,19,81,62,0,25.312
1803628,,,,,120,Civil Service 2019,26,37,18,37,118,26,0,36.875
1803630,,,,,120,Civil Service 2019,18,43,16,28,105,39,0,32.812
1803632,,,,,120,Civil Service 2019,34,34,27,22,117,27,0,36.562
1803633,,,,,120,Civil Service 2019,29,34,17,9,89,55,0,27.812
1803634,,,,,120,Civil Service 2019,20,30,30,30,110,34,0,34.375
1803635,,,,,120,Civil Service 2019,22,39,17,31,109,35,0,34.062
1803636,,,,,120,Civil Service 2019,0,10,5,10,25,103,0,7.812
1803637,,,,,120,Civil Service 2019,16,45,30,45,136,16,0,42.5
1803639,,,,,120,Civil Service 2019,18,14,12,14,58,82,0,18.125
1803640,,,,,120,Civil Service 2019,18,21,21,36,96,48,0,30
1803641,,,,,120,Civil Service 2019,23,31,38,22,114,30,0,35.625
1803642,,,,,120,Civil Service 2019,22,28,10,18,78,65,0,24.375
1803643,,,,,120,Civil Service 2019,0,15,15,5,35,97,0,10.938
1803647,,,,,120,Civil Service 2019,29,39,28,29,125,21,0,39.062
1803649,,,,,120,Civil Service 2019,33,33,30,18,114,30,0,35.625
1803654,,,,,120,Civil Service 2019,10,30,15,21,76,67,0,23.75
1803655,,,,,120,Civil Service 2019,20,16,20,37,93,51,0,29.062
1803658,,,,,120,Civil Service 2019,10,35,30,35,110,34,0,34.375
1803659,,,,,120,Civil Service 2019,5,6,1,21,33,99,0,10.312
1803661,,,,,120,Civil Service 2019,27,37,17,14,95,49,0,29.688
1803667,,,,,120,Civil Service 2019,5,25,-5,15,40,94,0,12.5
1803669,,,,,120,Civil Service 2019,-7,18,2,18,31,100,0,9.688
1803671,,,,,120,Civil Service 2019,20,8,-10,5,23,104,0,7.188
1803675,,,,,120,Civil Service 2019,13,7,5,0,25,103,0,7.812
1803678,,,,,120,Civil Service 2019,0,30,11,20,61,80,0,19.062
1803681,,,,,120,Civil Service 2019,26,48,16,23,113,31,0,35.312
1803683,,,,,120,Civil Service 2019,25,31,10,35,101,43,0,31.562
1803685,,,,,120,Civil Service 2019,27,36,26,45,134,18,0,41.875
1803686,,,,,120,Civil Service 2019,30,45,35,20,130,19,0,40.625
1803692,,,,,120,Civil Service 2019,12,20,20,9,61,80,0,19.062
1803699,,,,,120,Civil Service 2019,45,55,35,45,180,3,0,56.25
1803700,,,,,120,Civil Service 2019,24,32,25,24,105,39,0,32.812
1803701,,,,,120,Civil Service 2019,36,29,19,25,109,35,0,34.062
1803702,,,,,120,Civil Service 2019,15,31,0,25,71,72,0,22.188
1803703,,,,,120,Civil Service 2019,11,51,9,31,102,42,0,31.875
1803706,,,,,120,Civil Service 2019,13,21,18,18,70,73,0,21.875
1803707,,,,,120,Civil Service 2019,30,35,20,20,105,39,0,32.812
1803708,,,,,120,Civil Service 2019,31,62,40,46,179,4,0,55.938
1803714,,,,,120,Civil Service 2019,23,47,27,23,120,25,0,37.5
1803715,,,,,120,Civil Service 2019,12,8,5,9,34,98,0,10.625
1803718,,,,,120,Civil Service 2019,24,35,26,-1,84,60,0,26.25
1803721,,,,,120,Civil Service 2019,11,37,22,15,85,59,0,26.562
1803728,,,,,120,Civil Service 2019,11,46,15,22,94,50,0,29.375
1803731,,,,,120,Civil Service 2019,20,30,16,9,75,68,0,23.438
1803733,,,,,120,Civil Service 2019,10,35,17,15,77,66,0,24.062
1803736,,,,,120,Civil Service 2019,5,25,15,-5,40,94,0,12.5
1803737,,,,,120,Civil Service 2019,24,19,9,23,75,68,0,23.438
1803747,,,,,120,Civil Service 2019,30,16,17,19,82,61,0,25.625
1803752,,,,,120,Civil Service 2019,30,30,25,30,115,29,0,35.938
1803753,,,,,120,Civil Service 2019,28,43,29,26,126,20,0,39.375
1803754,,,,,120,Civil Service 2019,20,55,30,35,140,14,0,43.75
1803758,,,,,120,Civil Service 2019,19,28,12,15,74,69,0,23.125
1803759,,,,,120,Civil Service 2019,32,45,48,35,160,6,0,50
1803760,,,,,120,Civil Service 2019,17,33,23,7,80,63,0,25
1803761,,,,,120,Civil Service 2019,25,42,26,19,112,32,0,35
1803762,,,,,120,Civil Service 2019,14,48,19,25,106,38,0,33.125
1803764,,,,,120,Civil Service 2019,10,45,30,15,100,44,0,31.25
1803769,,,,,120,Civil Service 2019,16,43,7,50,116,28,0,36.25
1803773,,,,,120,Civil Service 2019,35,30,45,30,140,14,0,43.75
1803774,,,,,120,Civil Service 2019,15,5,15,30,65,78,0,20.312
1803777,,,,,120,Civil Service 2019,21,22,9,20,72,71,0,22.5
1803780,,,,,120,Civil Service 2019,30,45,30,10,115,29,0,35.938
1803781,,,,,120,Civil Service 2019,8,28,17,0,53,85,0,16.562
1803782,,,,,120,Civil Service 2019,1,32,8,35,76,67,0,23.75
1803783,,,,,120,Civil Service 2019,15,31,10,41,97,47,0,30.312
1803785,,,,,120,Civil Service 2019,25,45,25,5,100,44,0,31.25
1803787,,,,,120,Civil Service 2019,20,30,30,10,90,54,0,28.125
1803790,,,,,120,Civil Service 2019,20,40,25,30,115,29,0,35.938
1803791,,,,,120,Civil Service 2019,35,45,26,40,146,11,0,45.625
1803793,,,,,120,Civil Service 2019,35,26,20,22,103,41,0,32.188
1803794,,,,,120,Civil Service 2019,15,36,12,15,78,65,0,24.375
1803795,,,,,120,Civil Service 2019,29,46,13,20,108,36,0,33.75
1803796,,,,,120,Civil Service 2019,25,41,17,20,103,41,0,32.188
1803797,,,,,120,Civil Service 2019,-3,15,12,17,41,93,0,12.812
1803798,,,,,120,Civil Service 2019,24,10,11,21,66,77,0,20.625
1803799,,,,,120,Civil Service 2019,5,16,16,12,49,89,0,15.312
1803810,,,,,120,Civil Service 2019,23,42,10,16,91,53,0,28.438
1803800,,,,,120,Civil Service 2019,15,35,25,45,120,25,0,37.5
1803801,,,,,120,Civil Service 2019,9,48,15,22,94,50,0,29.375
1803802,,,,,120,Civil Service 2019,30,28,17,26,101,43,0,31.562
1803804,,,,,120,Civil Service 2019,8,33,22,25,88,56,0,27.5
1803805,,,,,120,Civil Service 2019,29,44,17,33,123,23,0,38.438
