candidate id,candidate name,father,group,other,test id,test,sub-verbalability,subccurrentaffairs,sub-generalscience,sub-numericalability,total,test rank,group rank,percentage
1804092,,,,,122,civil grooming 2019,14,13,9,8,44,13,0,44
1804093,,,,,122,civil grooming 2019,15,16,10,15,56,5,0,56
1804094,,,,,122,civil grooming 2019,13,14,6,13,46,11,0,46
1804095,,,,,122,civil grooming 2019,10,12,6,8,36,19,0,36
1804096,,,,,122,civil grooming 2019,14,18,6,13,51,9,0,51
1804104,,,,,122,civil grooming 2019,13,14,7,11,45,12,0,45
1804105,,,,,122,civil grooming 2019,13,19,8,14,54,6,0,54
1804106,,,,,122,civil grooming 2019,19,21,9,10,59,3,0,59
1804107,,,,,122,civil grooming 2019,19,15,9,14,57,4,0,57
1804109,,,,,122,civil grooming 2019,6,14,6,12,38,17,0,38
1804110,,,,,122,civil grooming 2019,9,10,6,6,31,21,0,31
1804111,,,,,122,civil grooming 2019,8,11,5,9,33,20,0,33
1804112,,,,,122,civil grooming 2019,19,17,11,15,62,1,0,62
1804113,,,,,122,civil grooming 2019,13,8,7,12,40,15,0,40
1804115,,,,,122,civil grooming 2019,14,16,10,12,52,8,0,52
1804116,,,,,122,civil grooming 2019,12,12,6,8,38,17,0,38
1804117,,,,,122,civil grooming 2019,15,14,6,16,51,9,0,51
1804119,,,,,122,civil grooming 2019,11,11,7,10,39,16,0,39
1804120,,,,,122,civil grooming 2019,12,14,7,11,44,13,0,44
1804121,,,,,122,civil grooming 2019,14,18,11,17,60,2,0,60
1804129,,,,,122,civil grooming 2019,13,14,7,11,45,12,0,45
1804130,,,,,122,civil grooming 2019,11,20,8,13,52,8,0,52
1804131,,,,,122,civil grooming 2019,15,10,9,15,49,10,0,49
1804132,,,,,122,civil grooming 2019,11,12,4,9,36,19,0,36
1804133,,,,,122,civil grooming 2019,13,10,8,12,43,14,0,43
1804134,,,,,122,civil grooming 2019,8,12,5,13,38,17,0,38
