candidate id,candidate name,father,group,other,test id,test,current affairs,general science,total,test rank,group rank,percentage
1804152,,,,,124,GK Final 2019,40,75,115,43,0,35.938
1804159,,,,,124,GK Final 2019,31,77,108,46,0,33.75
1804165,,,,,124,GK Final 2019,55,50,105,49,0,32.812
1804173,,,,,124,GK Final 2019,26,48,74,74,0,23.125
1804177,,,,,124,GK Final 2019,25,50,75,73,0,23.438
1804185,,,,,124,GK Final 2019,35,40,75,73,0,23.438
1804197,,,,,124,GK Final 2019,-5,30,25,90,0,7.812
14197_1,,,,,124,GK Final 2019,96,105,201,3,0,62.812
1804199,,,,,124,GK Final 2019,55,75,130,35,0,40.625
1804202,,,,,124,GK Final 2019,58,58,116,42,0,36.25
1804204,,,,,124,GK Final 2019,39,57,96,55,0,30
1804207,,,,,124,GK Final 2019,4,12,16,91,0,5
1804210,,,,,124,GK Final 2019,40,40,80,69,0,25
1804213,,,,,124,GK Final 2019,42,61,103,51,0,32.188
1804214,,,,,124,GK Final 2019,-4,20,16,91,0,5
1804216,,,,,124,GK Final 2019,20,40,60,79,0,18.75
1804217,,,,,124,GK Final 2019,0,40,40,86,0,12.5
1804218,,,,,124,GK Final 2019,43,48,91,59,0,28.438
1804242,,,,,124,GK Final 2019,34,55,89,61,0,27.812
1804245,,,,,124,GK Final 2019,55,80,135,33,0,42.188
1804247,,,,,124,GK Final 2019,45,71,116,42,0,36.25
1804248,,,,,124,GK Final 2019,25,55,80,69,0,25
1804250,,,,,124,GK Final 2019,11,15,26,89,0,8.125
1804252,,,,,124,GK Final 2019,74,69,143,29,0,44.688
1804256,,,,,124,GK Final 2019,70,65,135,33,0,42.188
1804259,,,,,124,GK Final 2019,10,0,10,92,0,3.125
1804273,,,,,124,GK Final 2019,29,48,77,72,0,24.062
1804277,,,,,124,GK Final 2019,49,79,128,36,0,40
1804279,,,,,124,GK Final 2019,55,50,105,49,0,32.812
1804280,,,,,124,GK Final 2019,35,55,90,60,0,28.125
1804295,,,,,124,GK Final 2019,38,72,110,45,0,34.375
1804315,,,,,124,GK Final 2019,77,67,144,28,0,45
1804328,,,,,124,GK Final 2019,0,10,10,92,0,3.125
1804330,,,,,124,GK Final 2019,16,66,82,67,0,25.625
1804331,,,,,124,GK Final 2019,95,97,192,6,0,60
1804333,,,,,124,GK Final 2019,40,75,115,43,0,35.938
1804352,,,,,124,GK Final 2019,25,24,49,84,0,15.312
1804360,,,,,124,GK Final 2019,73,95,168,9,0,52.5
1804364,,,,,124,GK Final 2019,61,80,141,30,0,44.062
1804383,,,,,124,GK Final 2019,40,70,110,45,0,34.375
1804391,,,,,124,GK Final 2019,72,80,152,22,0,47.5
1804394,,,,,124,GK Final 2019,52,67,119,41,0,37.188
1804403,,,,,124,GK Final 2019,66,36,102,52,0,31.875
1804409,,,,,124,GK Final 2019,68,63,131,34,0,40.938
1804414,,,,,124,GK Final 2019,21,74,95,56,0,29.688
1804415,,,,,124,GK Final 2019,31,57,88,62,0,27.5
1804417,,,,,124,GK Final 2019,54,90,144,28,0,45
1804421,,,,,124,GK Final 2019,40,40,80,69,0,25
1804426,,,,,124,GK Final 2019,25,60,85,64,0,26.562
1804430,,,,,124,GK Final 2019,35,45,80,69,0,25
1804436,,,,,124,GK Final 2019,62,64,126,38,0,39.375
1804457,,,,,124,GK Final 2019,41,66,107,47,0,33.438
1804463,,,,,124,GK Final 2019,87,75,162,14,0,50.625
1804498,,,,,124,GK Final 2019,31,68,99,54,0,30.938
1804499,,,,,124,GK Final 2019,60,70,130,35,0,40.625
1804504,,,,,124,GK Final 2019,24,21,45,85,0,14.062
1804508,,,,,124,GK Final 2019,30,51,81,68,0,25.312
1804519,,,,,124,GK Final 2019,55,68,123,39,0,38.438
1804520,,,,,124,GK Final 2019,5,30,35,87,0,10.938
1804524,,,,,124,GK Final 2019,83,73,156,18,0,48.75
1804559,,,,,124,GK Final 2019,55,75,130,35,0,40.625
1804561,,,,,124,GK Final 2019,25,55,80,69,0,25
1804569,,,,,124,GK Final 2019,55,57,112,44,0,35
1804570,,,,,124,GK Final 2019,15,65,80,69,0,25
1804571,,,,,124,GK Final 2019,15,55,70,75,0,21.875
1804572,,,,,124,GK Final 2019,20,40,60,79,0,18.75
1804574,,,,,124,GK Final 2019,45,20,65,76,0,20.312
1804576,,,,,124,GK Final 2019,5,55,60,79,0,18.75
1804586,,,,,124,GK Final 2019,60,90,150,24,0,46.875
1804587,,,,,124,GK Final 2019,60,60,120,40,0,37.5
1804592,,,,,124,GK Final 2019,38,46,84,65,0,26.25
1804593,,,,,124,GK Final 2019,42,32,74,74,0,23.125
1804595,,,,,124,GK Final 2019,77,77,154,20,0,48.125
1804597,,,,,124,GK Final 2019,47,32,79,70,0,24.688
1804608,,,,,124,GK Final 2019,70,65,135,33,0,42.188
1804616,,,,,124,GK Final 2019,39,52,91,59,0,28.438
1804640,,,,,124,GK Final 2019,55,75,130,35,0,40.625
1804647,,,,,124,GK Final 2019,25,50,75,73,0,23.438
1804665,,,,,124,GK Final 2019,38,64,102,52,0,31.875
1804672,,,,,124,GK Final 2019,60,70,130,35,0,40.625
1804690,,,,,124,GK Final 2019,73,81,154,20,0,48.125
1804692,,,,,124,GK Final 2019,35,40,75,73,0,23.438
1804695,,,,,124,GK Final 2019,101,105,206,1,0,64.375
1804698,,,,,124,GK Final 2019,82,72,154,20,0,48.125
1804699,,,,,124,GK Final 2019,17,47,64,77,0,20
1804702,,,,,124,GK Final 2019,50,96,146,26,0,45.625
1804704,,,,,124,GK Final 2019,25,85,110,45,0,34.375
1804718,,,,,124,GK Final 2019,67,86,153,21,0,47.812
1804720,,,,,124,GK Final 2019,67,68,135,33,0,42.188
1804726,,,,,124,GK Final 2019,35,40,75,73,0,23.438
1804727,,,,,124,GK Final 2019,3,46,49,84,0,15.312
1804730,,,,,124,GK Final 2019,28,57,85,64,0,26.562
1804737,,,,,124,GK Final 2019,92,105,197,5,0,61.562
1804747,,,,,124,GK Final 2019,75,85,160,16,0,50
1804749,,,,,124,GK Final 2019,33,50,83,66,0,25.938
1804752,,,,,124,GK Final 2019,35,75,110,45,0,34.375
1804753,,,,,124,GK Final 2019,23,38,61,78,0,19.062
1804765,,,,,124,GK Final 2019,70,76,146,26,0,45.625
1804766,,,,,124,GK Final 2019,45,71,116,42,0,36.25
1804768,,,,,124,GK Final 2019,20,30,50,83,0,15.625
1804775,,,,,124,GK Final 2019,25,50,75,73,0,23.438
1804780,,,,,124,GK Final 2019,99,99,198,4,0,61.875
1804782,,,,,124,GK Final 2019,57,94,151,23,0,47.188
1804785,,,,,124,GK Final 2019,45,70,115,43,0,35.938
1804787,,,,,124,GK Final 2019,40,70,110,45,0,34.375
1804790,,,,,124,GK Final 2019,30,45,75,73,0,23.438
1804793,,,,,124,GK Final 2019,84,91,175,7,0,54.688
1804801,,,,,124,GK Final 2019,67,84,151,23,0,47.188
1804804,,,,,124,GK Final 2019,30,25,55,80,0,17.188
1804805,,,,,124,GK Final 2019,40,90,130,35,0,40.625
1804807,,,,,124,GK Final 2019,20,35,55,80,0,17.188
1804813,,,,,124,GK Final 2019,37,49,86,63,0,26.875
1804816,,,,,124,GK Final 2019,20,35,55,80,0,17.188
1804818,,,,,124,GK Final 2019,34,67,101,53,0,31.562
1804828,,,,,124,GK Final 2019,90,47,137,32,0,42.812
1804829,,,,,124,GK Final 2019,50,65,115,43,0,35.938
1804830,,,,,124,GK Final 2019,35,25,60,79,0,18.75
1804863,,,,,124,GK Final 2019,58,105,163,13,0,50.938
1804864,,,,,124,GK Final 2019,1,52,53,82,0,16.562
1804873,,,,,124,GK Final 2019,32,22,54,81,0,16.875
1804875,,,,,124,GK Final 2019,20,50,70,75,0,21.875
1804887,,,,,124,GK Final 2019,69,92,161,15,0,50.312
1804888,,,,,124,GK Final 2019,30,65,95,56,0,29.688
1804891,,,,,124,GK Final 2019,63,98,161,15,0,50.312
1804894,,,,,124,GK Final 2019,59,61,120,40,0,37.5
1804896,,,,,124,GK Final 2019,30,20,50,83,0,15.625
1804903,,,,,124,GK Final 2019,40,53,93,58,0,29.062
1804917,,,,,124,GK Final 2019,58,82,140,31,0,43.75
1804932,,,,,124,GK Final 2019,82,82,164,12,0,51.25
1804946,,,,,124,GK Final 2019,35,60,95,56,0,29.688
1804952,,,,,124,GK Final 2019,55,20,75,73,0,23.438
1804956,,,,,124,GK Final 2019,73,84,157,17,0,49.062
1804957,,,,,124,GK Final 2019,64,85,149,25,0,46.562
1804973,,,,,124,GK Final 2019,65,50,115,43,0,35.938
1804996,,,,,124,GK Final 2019,25,40,65,76,0,20.312
1804997,,,,,124,GK Final 2019,75,94,169,8,0,52.812
1805023,,,,,124,GK Final 2019,50,41,91,59,0,28.438
1805032,,,,,124,GK Final 2019,44,60,104,50,0,32.5
1805035,,,,,124,GK Final 2019,70,95,165,11,0,51.562
1805036,,,,,124,GK Final 2019,44,44,88,62,0,27.5
1805047,,,,,124,GK Final 2019,64,81,145,27,0,45.312
1805051,,,,,124,GK Final 2019,40,15,55,80,0,17.188
1805052,,,,,124,GK Final 2019,60,95,155,19,0,48.438
1805078,,,,,124,GK Final 2019,35,60,95,56,0,29.688
1805089,,,,,124,GK Final 2019,30,35,65,76,0,20.312
1805093,,,,,124,GK Final 2019,0,55,55,80,0,17.188
